date,prediction,confidence_interval
2025-03-01,242.1052207761186,"[236.67076759758208, 247.53967395465514]"
2025-04-01,242.0230646549538,"[234.34333445781965, 249.70279485208795]"
2025-05-01,241.94103145232447,"[232.54235134832197, 251.33971155632696]"
2025-06-01,241.85912098432507,"[231.01456751292037, 252.70367445572978]"
2025-07-01,241.7773330673252,"[229.66180686089788, 253.89285927375252]"
2025-08-01,241.6956675179692,"[228.43367840722524, 254.95765662871318]"
2025-09-01,241.6141241531758,"[227.3002238936727, 255.9280244126789]"
2025-10-01,241.53270279013753,"[226.24190844271067, 256.8234971375644]"
2025-11-01,241.45140324632052,"[225.2451523558539, 257.65765413678713]"
2025-12-01,241.37022533946396,"[224.30006049977194, 258.44039017915594]"
2026-01-01,241.28916888757973,"[223.3991569044201, 259.1791808707394]"
2026-02-01,241.20823370895204,"[222.5366288433355, 259.87983857456857]"
2026-03-01,241.1274196221369,"[221.70785004891906, 260.54698919535474]"
2026-04-01,241.04672644596187,"[220.90906653474568, 261.184386357178]"
2026-05-01,240.9661539995255,"[220.13718196885955, 261.79512603019145]"
2026-06-01,240.88570210219703,"[219.38960655358483, 262.38179765080923]"
2026-07-01,240.805370573616,"[218.66414784664187, 262.9465933005901]"
2026-08-01,240.72515923369167,"[217.95893011396998, 263.49138835341336]"
2026-09-01,240.64506790260288,"[217.2723335956167, 264.01780220958904]"
2026-10-01,240.56509640079744,"[216.60294798409345, 264.52724481750147]"
2026-11-01,240.48524454899183,"[215.9495362486871, 265.0209528492965]"
2026-12-01,240.40551216817073,"[215.3110061243014, 265.50001821204006]"
2027-01-01,240.32589907958666,"[214.68638736810675, 265.9654107910666]"
2027-02-01,240.24640510475962,"[214.07481341834338, 266.4179967911759]"
