date,prediction,confidence_interval
2025-03-01,144.61010114913782,"[129.45319729546998, 159.76700500280566]"
2025-04-01,146.95473696425853,"[130.93974147273494, 162.96973245578212]"
2025-05-01,148.39779461643303,"[132.26579600104563, 164.52979323182043]"
2025-06-01,149.55422652390516,"[133.3985138052669, 165.7099392425434]"
2025-07-01,150.62251249811573,"[134.4587967553368, 166.78622824089464]"
2025-08-01,151.66671316291283,"[135.49855156574245, 167.8348747600832]"
2025-09-01,152.7075044928352,"[136.53584369441998, 168.87916529125042]"
2025-10-01,153.7515597904117,"[137.57663392112462, 169.92648565969878]"
2025-11-01,154.80103290655558,"[138.62285712270617, 170.979208690405]"
2025-12-01,155.8566190103733,"[139.67513764024935, 172.03810038049724]"
2026-01-01,156.91854247212362,"[140.73367607157013, 173.1034088726771]"
2026-02-01,157.98687570873716,"[141.79853630011573, 174.1752151173586]"
2026-03-01,159.06164209323975,"[142.8697381324406, 175.2535460540389]"
2026-04-01,160.1428491694244,"[143.94728716907835, 176.33841116977047]"
2026-05-01,161.23049937209842,"[145.03118443353736, 177.42981431065948]"
2026-06-01,162.32459348711131,"[146.12142947597508, 178.52775749824755]"
2026-07-01,163.42513176810107,"[147.21802137359097, 179.63224216261116]"
2026-08-01,164.53211429693093,"[148.32095905310516, 180.7432695407567]"
2026-09-01,165.6455411000228,"[149.43024139474005, 181.86084080530554]"
2026-10-01,166.7654121859045,"[150.54586726577912, 182.98495710602987]"
2026-11-01,167.89172755732844,"[151.66783553142844, 184.11561958322844]"
2026-12-01,169.02448721518297,"[152.79614505836287, 185.25282937200308]"
2027-01-01,170.16369115975488,"[153.93079471591497, 186.39658760359478]"
2027-02-01,171.30933939113663,"[155.07178337650402, 187.54689540576925]"
