date,prediction,confidence_interval
2025-03-01,125.88467543044841,"[100.4447608441319, 151.32459001676492]"
2025-04-01,135.92231878452935,"[104.77192927426037, 167.07270829479833]"
2025-05-01,135.00908993184348,"[92.9355503671795, 177.08262949650745]"
2025-06-01,135.7414673987622,"[78.86445633998184, 192.61847845754258]"
2025-07-01,140.09549770074864,"[68.48775920165133, 211.70323619984595]"
2025-08-01,142.24417455608273,"[55.68029605847481, 228.80805305369063]"
2025-09-01,143.1478664524329,"[38.58510849220224, 247.71062441266358]"
2025-10-01,146.51257248057294,"[23.81018653989871, 269.21495842124716]"
2025-11-01,148.76067315645744,"[7.09245631544718, 290.4288899974677]"
2025-12-01,150.55375522128085,"[-11.458055647642738, 312.56556609020447]"
2026-01-01,153.15380002277465,"[-30.025322731584794, 336.33292277713406]"
2026-02-01,155.60484599707974,"[-49.37640586018054, 360.58609785434]"
2026-03-01,157.66940240985252,"[-70.15388269505576, 385.4926875147608]"
2026-04-01,160.120164655615,"[-91.30962925270194, 411.54995856393197]"
2026-05-01,162.54210310083522,"[-113.18882808650744, 438.2730342881779]"
2026-06-01,164.8067941549296,"[-136.02509101951125, 465.63867932937046]"
2026-07-01,167.19944677161618,"[-159.47009278624625, 493.8689863294786]"
2026-08-01,169.62954426711633,"[-183.54130611062027, 522.800394644853]"
2026-09-01,171.983673051501,"[-208.3937406079396, 552.3610867109417]"
2026-10-01,174.39141497860916,"[-233.86773322674875, 582.650563183967]"
2026-11-01,176.82909922472845,"[-259.94987178712023, 613.6080702365771]"
2026-12-01,179.24295285998323,"[-286.69732755765665, 645.1832332776231]"
2027-01-01,181.67774596614632,"[-314.0527925409083, 677.4082844732009]"
2027-02-01,184.1367085734184,"[-341.9889621071466, 710.2623792539835]"
