date,prediction,confidence_interval
2025-03-01,357.77306975901445,"[330.1220129150395, 385.4241266029894]"
2025-04-01,358.43224645665555,"[328.5138650552156, 388.3506278580955]"
2025-05-01,360.7480575794075,"[329.4550955928159, 392.0410195659991]"
2025-06-01,363.07430851584536,"[330.44871995808074, 395.69989707361]"
2025-07-01,365.4109992659691,"[331.4897929387928, 399.33220559314543]"
2025-08-01,367.7581298297788,"[332.57422560902376, 402.94203405053383]"
2025-09-01,370.1157002072744,"[333.69859326858773, 406.5328071459611]"
2025-10-01,372.48371039845597,"[334.85999527266966, 410.1074255242423]"
2025-11-01,374.86216040332346,"[336.05595060472274, 413.6683702019242]"
2025-12-01,377.2510502218769,"[337.284318663569, 417.21778178018474]"
2026-01-01,379.65037985411624,"[338.5432382130484, 420.75752149518405]"
2026-02-01,382.06014930004153,"[339.83107965911825, 424.2892189409648]"
2026-03-01,384.48035855965276,"[341.14640726922386, 427.81430985008166]"
2026-04-01,386.9110076329499,"[342.48794891927315, 431.3340663466267]"
2026-05-01,389.352096519933,"[343.85457161669797, 434.84962142316806]"
2026-06-01,391.80362522060204,"[345.2452615097021, 438.36198893150197]"
2026-07-01,394.265593734957,"[346.6591074195752, 441.8720800503388]"
2026-08-01,396.7380020629979,"[348.0952871678455, 445.3807169581503]"
2026-09-01,399.22085020472474,"[349.55305614126945, 448.88864426818003]"
2026-10-01,401.7141381601375,"[351.0317376640795, 452.3965386561955]"
2026-11-01,404.2178659292362,"[352.5307148413678, 455.9050170171046]"
2026-12-01,406.73203351202085,"[354.04942360883007, 459.41464341521163]"
2027-01-01,409.25664090849136,"[355.5873467785351, 462.9259350384476]"
2027-02-01,411.7916881186478,"[357.14400891231656, 466.43936732497906]"
