date,prediction,confidence_interval
2025-03-01,601.2868569978897,"[571.3366363655881, 631.2370776301913]"
2025-04-01,600.10541034027,"[550.0525906153553, 650.1582300651849]"
2025-05-01,597.1868331752021,"[533.5466587558958, 660.8270075945084]"
2025-06-01,595.4631652855371,"[521.6217674821102, 669.3045630889641]"
2025-07-01,594.3962950375942,"[511.91982200415686, 676.8727680710316]"
2025-08-01,593.3970222059303,"[503.17610090912876, 683.6179435027318]"
2025-09-01,592.3360162808528,"[495.0366799363887, 689.635352625317]"
2025-10-01,591.2496858777795,"[487.42346057806947, 695.0759111774895]"
2025-11-01,590.1683600927071,"[480.27622377533163, 700.0604964100826]"
2025-12-01,589.0974639749002,"[473.52698200433224, 704.6679459454681]"
2026-01-01,588.0346645082637,"[467.11693390842, 708.9523951081076]"
2026-02-01,586.9783782852776,"[461.00121741246494, 712.9555391580902]"
2026-03-01,585.9283483238585,"[455.1454636268194, 716.7112330208976]"
2026-04-01,584.8846724595423,"[449.5221084992487, 720.247236419836]"
2026-05-01,583.8473886542259,"[444.1083204798057, 723.5864568286462]"
2026-06-01,582.8164655733905,"[438.8849009605583, 726.7480301862226]"
2026-07-01,581.791856395472,"[433.8355516104846, 729.7481611804594]"
2026-08-01,580.7735186778436,"[428.9463043395946, 732.6007330160927]"
2026-09-01,579.7614138074605,"[424.20507379821333, 735.3177538167076]"
2026-10-01,578.7555040765149,"[419.60131261991046, 737.9096955331192]"
2026-11-01,577.7557517476471,"[415.1257453582194, 740.3857581370748]"
2026-12-01,576.7621191325985,"[410.7701598564151, 742.7540784087819]"
2027-01-01,575.7745687468591,"[406.5272409545337, 745.0218965391846]"
2027-02-01,574.7930633510981,"[402.3904363030596, 747.1956903991367]"
