date,prediction,confidence_interval
2025-03-01,146.77800753453215,"[130.31158595414706, 163.24442911491724]"
2025-04-01,124.11153874209676,"[83.48165279538367, 164.74142468880984]"
2025-05-01,95.69484639420712,"[13.758531550446492, 177.63116123796775]"
2025-06-01,57.98110961023859,"[-80.55336213419385, 196.51558135467104]"
2025-07-01,13.477003500288959,"[-201.09315458531003, 228.04716158588795]"
2025-08-01,-39.81631825359874,"[-349.8883727705129, 270.2557362633154]"
2025-09-01,-100.54431355221365,"[-528.1550422216313, 327.0664151172041]"
2025-10-01,-169.84831431580338,"[-737.6952686893418, 397.9986400577351]"
2025-11-01,-247.01201286369246,"[-979.6296637541528, 485.6056380267679]"
2025-12-01,-332.7017133217365,"[-1255.5164028338897, 590.1129761904167]"
2026-01-01,-426.5546636917673,"[-1566.4440163834172, 713.3346889998827]"
2026-02-01,-528.9740221908982,"[-1913.7787170328497, 855.8306726510533]"
2026-03-01,-639.7928921634539,"[-2298.582808831229, 1018.9970245043216]"
2026-04-01,-759.2686597894054,"[-2722.08069261458, 1203.543373035769]"
2026-05-01,-887.3429242373027,"[-3185.304129460356, 1410.6182809857505]"
2026-06-01,-1024.192319959247,"[-3689.3730400748686, 1640.9884001563746]"
2026-07-01,-1169.818548359063,"[-4235.285080065833, 1895.6479833477072]"
2026-08-01,-1324.3535107446792,"[-4824.08156884527, 2175.374547355912]"
2026-09-01,-1487.8322026923988,"[-5456.724888048146, 2481.0604826633485]"
2026-10-01,-1660.361745183582,"[-6134.1953852392135, 2813.47189487205]"
2026-11-01,-1841.9955774000978,"[-6857.420867584131, 3173.429712783935]"
2026-12-01,-2032.8270930390697,"[-7627.332805080063, 3561.678619001923]"
2027-01-01,-2232.919948283151,"[-8444.82621915705, 3978.9863225907493]"
2027-02-01,-2442.3599324771967,"[-9310.79217399484, 4426.072309040445]"
