date,prediction,confidence_interval
2025-03-01,122.6457672096635,"[104.36087245902186, 140.93066196030514]"
2025-04-01,124.62828049892761,"[105.08459609029192, 144.17196490756328]"
2025-05-01,125.01646689825236,"[103.11647879777851, 146.9164549987262]"
2025-06-01,124.98694497544594,"[100.66413419565885, 149.30975575523303]"
2025-07-01,125.5755552770269,"[99.47175094929142, 151.67935960476237]"
2025-08-01,125.87312391219307,"[97.91661223650165, 153.82963558788447]"
2025-09-01,126.21307293458156,"[96.54687701323455, 155.87926885592856]"
2025-10-01,126.59199965463026,"[95.33093317182751, 157.85306613743302]"
2025-11-01,126.93714053675873,"[94.14036455437669, 159.7339165191408]"
2025-12-01,127.2945628470141,"[93.03737550291527, 161.55175019111294]"
2026-01-01,127.6519264984329,"[91.99397704286957, 163.30987595399623]"
2026-02-01,128.00656842898064,"[90.99955172367552, 165.01358513428576]"
2026-03-01,128.3629180952824,"[90.05511266681731, 166.67072352374748]"
2026-04-01,128.71881577539298,"[89.15275298398996, 168.284878566796]"
2026-05-01,129.07461133085656,"[88.28904951097729, 169.86017315073582]"
2026-06-01,129.43057197978524,"[87.46100039411162, 171.40014356545885]"
2026-07-01,129.7864527762201,"[86.66533604848338, 172.90756950395684]"
2026-08-01,130.1423462116022,"[85.89965196853694, 174.38504045466743]"
2026-09-01,130.49824971167803,"[85.16171992536133, 175.83477949799473]"
2026-10-01,130.85414410687144,"[84.44955169819983, 177.25873651554306]"
2026-11-01,131.2100419104323,"[83.76142405796543, 178.65865976289916]"
2026-12-01,131.56593963675374,"[83.09577891912893, 180.03610035437856]"
2027-01-01,131.92183664569185,"[82.45122265107806, 181.39245064030564]"
2027-02-01,132.2777341186246,"[81.82650220715533, 182.7289660300939]"
