date,prediction,confidence_interval
2025-03-01,120.83065859570287,"[104.84484387732117, 136.8164733140846]"
2025-04-01,121.23404264096374,"[103.80435752298108, 138.6637277589464]"
2025-05-01,121.72950130842915,"[104.24383561791265, 139.21516699894565]"
2025-06-01,122.2403583483646,"[104.60623445298098, 139.87448224374822]"
2025-07-01,122.7375016506666,"[104.79415449618496, 140.68084880514823]"
2025-08-01,123.23049070825446,"[104.98871798084978, 141.47226343565916]"
2025-09-01,123.72530974184318,"[105.22050546982013, 142.23011401386623]"
2025-10-01,124.22103593017779,"[105.4593792274455, 142.98269263291007]"
2025-11-01,124.71655822799514,"[105.69693403170525, 143.73618242428503]"
2025-12-01,125.21190479020223,"[105.93683516505654, 144.48697441534793]"
2026-01-01,125.70726554005059,"[106.18074143941621, 145.23378964068496]"
2026-02-01,126.20265744234484,"[106.42810158431998, 145.97721330036973]"
2026-03-01,126.69805051920005,"[106.67845472826812, 146.71764631013198]"
2026-04-01,127.19343849518248,"[106.9317198912183, 147.45515709914667]"
2026-05-01,127.68882569107956,"[107.18785169400232, 148.1897996881568]"
2026-06-01,128.18421365504489,"[107.44675293831034, 148.92167437177943]"
2026-07-01,128.67960183784186,"[107.70832065215178, 149.65088302353195]"
2026-08-01,129.1749899165664,"[107.97246523061395, 150.37751460251886]"
2026-09-01,129.67037794662826,"[108.23910463146154, 151.10165126179498]"
2026-10-01,130.16576598862005,"[108.50816018777219, 151.8233717894679]"
2026-11-01,130.66115404015227,"[108.77955674252937, 152.54275133777517]"
2026-12-01,131.15654209076956,"[109.05322304156394, 153.2598611399752]"
2027-01-01,131.6519301396791,"[109.3290914725317, 153.97476880682652]"
2027-02-01,132.1473181885473,"[109.6070977117524, 154.6875386653422]"
