date,prediction,confidence_interval
2025-03-01,321.35332999043885,"[308.9049607171243, 333.8016992637534]"
2025-04-01,323.87161026656577,"[307.48318953662636, 340.2600309965052]"
2025-05-01,326.06108869009955,"[306.6085032159852, 345.5136741642139]"
2025-06-01,328.2012538382462,"[306.55827922551384, 349.84422845097856]"
2025-07-01,330.1578231588532,"[306.5970416233632, 353.7186046943432]"
2025-08-01,332.0728866589428,"[306.9381359993464, 357.20763731853924]"
2025-09-01,333.88432656113184,"[307.31447254374234, 360.45418057852135]"
2025-10-01,335.66486807150227,"[307.8291039905364, 363.50063215246814]"
2025-11-01,337.3863307961076,"[308.3687174617053, 366.4039441305099]"
2025-12-01,339.08622377394283,"[308.98155179058625, 369.1908957572994]"
2026-01-01,340.75212076533757,"[309.616228677144, 371.8880128535311]"
2026-02-01,342.40353473224127,"[310.29507406726384, 374.5119953972187]"
2026-03-01,344.0352220204071,"[310.99379755157986, 377.07664648923435]"
2026-04-01,345.6574304557209,"[311.72252626807733, 379.59233464336444]"
2026-05-01,347.2681069686205,"[312.4693524377826, 382.06686149945835]"
2026-06-01,348.8726890807067,"[313.2386702327109, 384.50670792870255]"
2026-07-01,350.47048594087545,"[314.0243985633438, 386.9165733184071]"
2026-08-01,352.06441430831535,"[314.8282553066032, 389.3005733100275]"
2026-09-01,353.65432790292243,"[315.64696664080174, 391.66168916504313]"
2026-10-01,355.2418090974702,"[316.48102134109473, 394.00259685384566]"
2026-11-01,356.82690341334285,"[317.32853163429195, 396.32527519239375]"
2026-12-01,358.4104792058901,"[318.1894410829076, 398.63151732887263]"
2027-01-01,359.99263020122623,"[319.06256753168566, 400.9226928707668]"
2027-02-01,361.57383837549236,"[319.94763027578557, 403.20004647519914]"
