date,prediction,confidence_interval
2025-03-01,203.2908342258352,"[179.4831215827104, 227.09854686896]"
2025-04-01,202.62184433971765,"[177.54487480738993, 227.69881387204538]"
2025-05-01,202.1451604954068,"[175.57105044642876, 228.71927054438484]"
2025-06-01,201.92327522386043,"[174.23897453372913, 229.60757591399172]"
2025-07-01,201.72458923599336,"[172.97308734581688, 230.47609112616985]"
2025-08-01,201.54405317691533,"[171.78637639882132, 231.30172995500934]"
2025-09-01,201.36622206207815,"[170.64114693990282, 232.09129718425348]"
2025-10-01,201.1901512524203,"[169.53363896547538, 232.8466635393652]"
2025-11-01,201.01478545477988,"[168.45871303203316, 233.5708578775266]"
2025-12-01,200.84001941811698,"[167.41367147823084, 234.26636735800312]"
2026-01-01,200.665778192418,"[166.3961200852224, 234.9354362996136]"
2026-02-01,200.4920505620791,"[165.40407403861016, 235.58002708554804]"
2026-03-01,200.31882983088204,"[164.43578611546334, 236.20187354630073]"
2026-04-01,200.14611368022977,"[163.48971462856923, 236.80251273189032]"
2026-05-01,199.9739002659841,"[162.5644854557112, 237.383315076257]"
2026-06-01,199.8021880547278,"[161.65886756324906, 237.94550854620653]"
2026-07-01,199.63097556036968,"[160.7717524391226, 238.49019868161676]"
2026-08-01,199.4602613229374,"[159.90213750561432, 239.0183851402605]"
2026-09-01,199.29004389039076,"[159.04911229940345, 239.53097548137808]"
2026-10-01,199.12032181649528,"[158.21184691341446, 240.0287967195761]"
2026-11-01,198.95109365953027,"[157.38958224388082, 240.51260507517972]"
2026-12-01,198.78235798208672,"[156.5816217108979, 240.98309425327554]"
2027-01-01,198.6141133509634,"[155.78732418762243, 241.44090251430438]"
2027-02-01,198.44635833713846,"[155.00609792900624, 241.88661874527068]"
