date,prediction,confidence_interval
2025-03-01,588.3012110953646,"[550.1195183501969, 626.4829038405322]"
2025-04-01,604.4594130389398,"[563.2962438367341, 645.6225822411456]"
2025-05-01,600.8870882382074,"[551.2645500042445, 650.5096264721703]"
2025-06-01,604.3431735995374,"[549.7508560360835, 658.9354911629913]"
2025-07-01,608.0620272109209,"[548.5229117388892, 667.6011426829525]"
2025-08-01,607.9239432811777,"[543.241525372032, 672.6063611903234]"
2025-09-01,612.858853690189,"[544.1619776481492, 681.5557297322288]"
2025-10-01,612.8282370427446,"[539.4853187957335, 686.1711552897557]"
2025-11-01,616.9844525373694,"[539.9053693038624, 694.0635357708765]"
2025-12-01,617.9240102887322,"[536.7272196714854, 699.1208009059791]"
2026-01-01,621.1237788814258,"[536.3259674326786, 705.921590330173]"
2026-02-01,622.8460690977856,"[534.3239955547853, 711.368142640786]"
2026-03-01,625.4311690672519,"[533.4344764868592, 717.4278616476445]"
2026-04-01,627.566749715037,"[532.1134086722772, 723.0200907577968]"
2026-05-01,629.8674946565858,"[531.0737299272156, 728.661259385956]"
2026-06-01,632.1527146668029,"[530.0869089245009, 734.2185204091049]"
2026-07-01,634.3619715531137,"[529.0869069458083, 739.637036160419]"
2026-08-01,636.666666448052,"[528.2557095059732, 745.0776233901307]"
2026-09-01,638.8648760115474,"[527.3634492870713, 750.3663027360235]"
2026-10-01,641.1447775543053,"[526.6157665521259, 755.6737885564846]"
2026-11-01,643.351932186118,"[525.8356793083098, 760.8681850639263]"
2026-12-01,645.6019498135284,"[525.149181249769, 766.0547183772879]"
2027-01-01,647.815019932541,"[524.4635030872723, 771.1665367778096]"
2027-02-01,650.0417777474287,"[523.8326823543597, 776.2508731404977]"
