date,prediction,confidence_interval
2025-03-01,157.5384315138894,"[153.49967203593155, 161.57719099184726]"
2025-04-01,155.6964384072737,"[150.3472507506157, 161.04562606393168]"
2025-05-01,154.7841419912038,"[147.57437524317285, 161.99390873923474]"
2025-06-01,153.86083152731845,"[144.98478950547022, 162.7368735491667]"
2025-07-01,152.92650701561766,"[142.47377413967763, 163.3792398915577]"
2025-08-01,151.98116845610141,"[139.996056686942, 163.96628022526082]"
2025-09-01,151.02481584876972,"[137.52779320094552, 164.52183849659392]"
2025-10-01,150.05744919362257,"[135.05493496975092, 165.05996341749423]"
2025-11-01,149.07906849066,"[132.56858691331576, 165.58955006800426]"
2025-12-01,148.089673739882,"[130.06283300882916, 166.11651447093482]"
2026-01-01,147.08926494128852,"[127.53359959157365, 166.6449302910034]"
2026-02-01,146.0778420948796,"[124.97801168680495, 167.17767250295424]"
2026-03-01,145.05540520065523,"[122.39400554324287, 167.7168048580676]"
2026-04-01,144.0219542586154,"[119.78008385692782, 168.263824660303]"
2026-05-01,142.97748926876014,"[117.13515498141177, 168.8198235561085]"
2026-06-01,141.92201023108942,"[114.45842385339091, 169.38559660878792]"
2026-07-01,140.85551714560324,"[111.74931598085553, 169.96171831035096]"
2026-08-01,139.77801001230162,"[109.00742324956295, 170.5485967750403]"
2026-09-01,138.68948883118455,"[106.23246452336306, 171.14651313900603]"
2026-10-01,137.58995360225205,"[103.42425651320633, 171.75565069129777]"
2026-11-01,136.4794043255041,"[100.58269192087337, 172.37611673013484]"
2026-12-01,135.3578410009407,"[97.7077228296607, 173.00795917222072]"
2027-01-01,134.22526362856186,"[94.79934793996978, 173.65117931715395]"
2027-02-01,133.08167220836756,"[91.85760266240399, 174.30574175433114]"
