date,prediction,confidence_interval
2025-03-01,67.10310797025068,"[30.898778771295618, 103.30743716920574]"
2025-04-01,67.00600309937721,"[30.74845455296193, 103.26355164579249]"
2025-05-01,67.20296391785436,"[30.87835441705601, 103.52757341865271]"
2025-06-01,67.39992473633151,"[31.00837785830889, 103.79147161435414]"
2025-07-01,67.59688555480867,"[31.138524196059315, 104.05524691355802]"
2025-08-01,67.79384637328582,"[31.2687927558717, 104.31889999069993]"
2025-09-01,67.99080719176297,"[31.399182869456574, 104.58243151406936]"
2025-10-01,68.18776801024012,"[31.529693874592546, 104.8458421458877]"
2025-11-01,68.38472882871727,"[31.660325115049396, 105.10913254238514]"
2025-12-01,68.58168964719442,"[31.791075940512506, 105.37230335387633]"
2026-01-01,68.77865046567157,"[31.92194570650841, 105.63535522483474]"
2026-02-01,68.97561128414873,"[32.05293377433168, 105.89828879396578]"
2026-03-01,69.17257210262588,"[32.18403951097285, 106.1611046942789]"
2026-04-01,69.36953292110303,"[32.31526228904758, 106.42380355315848]"
2026-05-01,69.56649373958018,"[32.44660148672691, 106.68638599243346]"
2026-06-01,69.76345455805733,"[32.578056487668675, 106.94885262844599]"
2026-07-01,69.96041537653448,"[32.70962668094988, 107.21120407211909]"
2026-08-01,70.15737619501164,"[32.84131146100033, 107.47344092902294]"
2026-09-01,70.35433701348879,"[32.973110227537106, 107.73556379944047]"
2026-10-01,70.55129783196594,"[33.10502238550024, 107.99757327843164]"
2026-11-01,70.74825865044309,"[33.23704734498924, 108.25946995589695]"
2026-12-01,70.94521946892024,"[33.36918452120074, 108.52125441663975]"
2027-01-01,71.1421802873974,"[33.501433334367, 108.7829272404278]"
2027-02-01,71.33914110587455,"[33.633793209695476, 109.04448900205361]"
