date,prediction,confidence_interval
2025-03-01,126.01166722160603,"[103.02622857758641, 148.99710586562566]"
2025-04-01,122.23319640708141,"[91.30405997329379, 153.16233284086903]"
2025-05-01,118.83124797560656,"[82.72322269591163, 154.9392732553015]"
2025-06-01,115.76830169428925,"[75.95344503030805, 155.58315835827045]"
2025-07-01,113.01057619926512,"[70.42699440187972, 155.5941579966505]"
2025-08-01,110.52765641960927,"[65.82533293283367, 155.22997990638487]"
2025-09-01,108.29215812823482,"[61.943341029062076, 154.64097522740755]"
2025-10-01,106.27942592009605,"[58.63765098172033, 153.92120085847176]"
2025-11-01,104.4672612866852,"[55.80257818093184, 153.13194439243856]"
2025-12-01,102.83567778774481,"[53.3573106125718, 152.31404496291782]"
2026-01-01,101.36668061997423,"[51.238407690514016, 151.49495354943446]"
2026-02-01,100.0440681515842,"[49.39508100598506, 150.69305529718332]"
2026-03-01,98.85325323381576,"[47.786055305536216, 149.9204511620953]"
2026-04-01,97.78110231866073,"[46.37738663062554, 149.18481800669593]"
2026-05-01,96.81579060840609,"[45.14089137686416, 148.490689839948]"
2026-06-01,95.94667163944081,"[44.05298256471492, 147.8403607141667]"
2026-07-01,95.16415986195908,"[43.09378757565805, 147.23453214826012]"
2026-08-01,94.45962492052684,"[42.24646647782173, 146.67278336323193]"
2026-09-01,93.82529646952722,"[41.496677042296874, 146.15391589675755]"
2026-10-01,93.25417847369071,"[40.83214940056555, 145.67620754681587]"
2026-11-01,92.73997204852677,"[40.242344177081335, 145.23759991997218]"
2026-12-01,92.27700598966074,"[39.71817517536675, 144.83583680395472]"
2027-01-01,91.86017422488143,"[39.25178264955437, 144.4685658002085]"
2027-02-01,91.4848794990551,"[38.83634666353459, 144.1334123345756]"
