date,prediction,confidence_interval
2025-03-01,233.36734715023164,"[196.4501711206874, 270.2845231797759]"
2025-04-01,257.654415628172,"[220.13101896809155, 295.1778122882524]"
2025-05-01,249.5193082864813,"[206.03033958922254, 293.0082769837401]"
2025-06-01,248.44146599128953,"[202.01748075459815, 294.8654512279809]"
2025-07-01,249.24041076252095,"[199.8497232208046, 298.6310983042373]"
2025-08-01,246.91390910411835,"[194.59903019536796, 299.22878801286873]"
2025-09-01,246.69267560135407,"[191.88377173543398, 301.50157946727415]"
2025-10-01,245.52728113567244,"[188.27722557786507, 302.7773366934798]"
2025-11-01,244.65723488794538,"[185.17096136392732, 304.14350841196347]"
2025-12-01,243.79278676040752,"[182.19489611108438, 305.3906774097307]"
2026-01-01,242.8789174888836,"[179.28962543608307, 306.46820954168413]"
2026-02-01,242.02693951227764,"[176.55896550840288, 307.4949135161524]"
2026-03-01,241.15971428795274,"[173.9094153864139, 308.41001318949156]"
2026-04-01,240.31318638707143,"[171.37167810774247, 309.2546946664004]"
2026-05-01,239.47604434975813,"[168.92538062910126, 310.026708070415]"
2026-06-01,238.64875306419015,"[166.5647984418011, 310.7327076865792]"
2026-07-01,237.83327946123967,"[164.28617431676565, 311.3803846057137]"
2026-08-01,237.02764869483488,"[162.08236603795916, 311.9729313517106]"
2026-09-01,236.23271418334014,"[159.94980544198808, 312.5156229246922]"
2026-10-01,235.44797171530203,"[157.8839400136054, 313.01200341699865]"
2026-11-01,234.67335656635294,"[155.881114430849, 313.46559870185683]"
2026-12-01,233.90876912769073,"[153.93797830013995, 313.8795599552415]"
2027-01-01,233.15403923701697,"[152.05141517492825, 314.2566632991057]"
2027-02-01,232.40906506874907,"[150.21864501651103, 314.5994851209871]"
