date,prediction,confidence_interval
2025-03-01,137.73099865253545,"[119.23706055390039, 156.2249367511705]"
2025-04-01,138.4334302095007,"[118.33114040693297, 158.53572001206842]"
2025-05-01,138.8252650473394,"[116.17641282946012, 161.4741172652187]"
2025-06-01,139.71345388058873,"[114.32108360470365, 165.10582415647383]"
2025-07-01,140.36524833293683,"[112.8420972597722, 167.88839940610146]"
2025-08-01,141.03876962544723,"[111.3181480787895, 170.75939117210496]"
2025-09-01,141.7386274655493,"[109.9141686648907, 173.56308626620793]"
2025-10-01,142.40688683861686,"[108.56776102692271, 176.246012650311]"
2025-11-01,143.076464195994,"[107.25311860828907, 178.8998097836989]"
2025-12-01,143.74025028558336,"[105.9734825586304, 181.50701801253632]"
2026-01-01,144.3952602787787,"[104.71304046005358, 184.0774800975038]"
2026-02-01,145.0446289494975,"[103.4650692394768, 186.6241886595182]"
2026-03-01,145.68701557352074,"[102.22387804889323, 189.15015309814825]"
2026-04-01,146.32240264584254,"[100.98333685662641, 191.66146843505868]"
2026-05-01,146.95095048347494,"[99.73890490499306, 194.16299606195682]"
2026-06-01,147.5724325199985,"[98.48639981690943, 196.65846522308757]"
2026-07-01,148.1868115278175,"[97.2220713471404, 199.1515517084946]"
2026-08-01,148.79402161649966,"[95.94262660862695, 201.6454166243724]"
2026-09-01,149.39397332430724,"[94.64505965812549, 204.142886990489]"
2026-10-01,149.98659715497973,"[93.3266382241008, 206.64655608585866]"
2026-11-01,150.57181691349393,"[91.98486091056819, 209.15877291641968]"
2026-12-01,151.1495560790777,"[90.61741673009442, 211.681695428061]"
2027-01-01,151.71973975204895,"[89.22216271777371, 214.2173167863242]"
2027-02-01,152.28229214987087,"[87.79710063599586, 216.76748366374588]"
