date,prediction,confidence_interval
2025-03-01,152.52877645919216,"[130.8159727855271, 174.24158013285722]"
2025-04-01,152.47717243498963,"[129.98804643857852, 174.96629843140073]"
2025-05-01,152.37808932923852,"[129.17135543996784, 175.5848232185092]"
2025-06-01,152.27919950889674,"[128.37906569971113, 176.17933331808234]"
2025-07-01,152.18050259691466,"[127.60911718382533, 176.751888010004]"
2025-08-01,152.08199821697818,"[126.85973128678324, 177.3042651471731]"
2025-09-01,151.98368599350724,"[126.12935957940586, 177.83801240760863]"
2025-10-01,151.88556555165448,"[125.4166439799258, 178.35448712338317]"
2025-11-01,151.78763651730378,"[124.72038538102738, 178.85488765358016]"
2025-12-01,151.68989851706883,"[124.03951863589766, 179.34027839824]"
2026-01-01,151.59235117829164,"[123.37309239466988, 179.81160996191338]"
2026-02-01,151.49499412904123,"[122.72025268833362, 180.26973556974886]"
2026-03-01,151.39782699811215,"[122.08022944195255, 180.71542455427175]"
2026-04-01,151.30084941502307,"[121.4523253021747, 181.14937352787143]"
2026-05-01,151.20406101001538,"[120.83590631108427, 181.5722157089465]"
2026-06-01,151.10746141405178,"[120.23039406635934, 181.98452876174423]"
2026-07-01,151.01105025881483,"[119.63525908787139, 182.38684142975828]"
2026-08-01,150.91482717670561,"[119.0500151711131, 182.77963918229813]"
2026-09-01,150.81879180084232,"[118.47421455359654, 183.1633690480881]"
2026-10-01,150.72294376505877,"[117.90744375546012, 183.53844377465742]"
2026-11-01,150.62728270390315,"[117.34931998268597, 183.9052454251203]"
2026-12-01,150.5318082526365,"[116.79948800253466, 184.26412850273834]"
2027-01-01,150.4365200472314,"[116.25761741749133, 184.61542267697146]"
2027-02-01,150.3414177243705,"[115.72340027724545, 184.95943517149556]"
