date,prediction,confidence_interval
2025-03-01,335.0360402691949,"[324.70078777749546, 345.3712927608944]"
2025-04-01,356.54106663862177,"[334.994147143217, 378.08798613402655]"
2025-05-01,386.6402358958711,"[348.19837637853794, 425.0820954132043]"
2025-06-01,424.2673236936531,"[363.2347630487053, 485.2998843386009]"
2025-07-01,465.81377599677177,"[374.8093867980096, 556.818165195534]"
2025-08-01,515.205428075465,"[387.9791268209437, 642.4317293299862]"
2025-09-01,571.1938775305263,"[399.9758613638052, 742.4118936972473]"
2025-10-01,633.7008871160975,"[410.7241659688561, 856.6776082633389]"
2025-11-01,702.4132432761346,"[419.22027852768286, 985.6062080245863]"
2025-12-01,778.367933251967,"[426.44324421644336, 1130.2926222874905]"
2026-01-01,860.7550620295249,"[430.88046389261035, 1290.6296601664394]"
2026-02-01,949.9663696181204,"[432.7730466456909, 1467.15969259055]"
2026-03-01,1045.9058550649897,"[431.5515116260066, 1660.2601985039728]"
2026-04-01,1148.8222205446841,"[427.2208983349964, 1870.4235427543717]"
2026-05-01,1258.4790217193868,"[419.12506356430026, 2097.8329798744735]"
2026-06-01,1375.1267147610886,"[407.2736301934899, 2342.9797993286875]"
2026-07-01,1498.6909810003485,"[391.22977764329676, 2606.1521843574]"
2026-08-01,1629.2850103244327,"[370.8426977019835, 2887.727322946882]"
2026-09-01,1766.8683483725,"[345.74962532474797, 3187.9870714202516]"
2026-10-01,1911.559136674256,"[315.8084892068712, 3507.309784141641]"
2026-11-01,2063.337450248673,"[280.69990064825356, 3845.9749998490925]"
2026-12-01,2222.2805481227856,"[240.24307688637305, 4204.318019359198]"
2027-01-01,2388.3984906971077,"[194.16999129205396, 4582.6269901021615]"
2027-02-01,2561.7573678807353,"[142.29395756527674, 4981.220778196193]"
