date,prediction,confidence_interval
2025-03-01,232.57542128756646,"[219.22280045694868, 245.92804211818424]"
2025-04-01,234.12691751400362,"[219.20436845972466, 249.04946656828258]"
2025-05-01,235.12261831863566,"[218.45590566099142, 251.7893309762799]"
2025-06-01,236.1814703576834,"[217.9715441898837, 254.3913965254831]"
2025-07-01,237.23314695366022,"[217.5972716231836, 256.86902228413686]"
2025-08-01,238.28563884618256,"[217.3209683876663, 259.2503093046988]"
2025-09-01,239.33803810213172,"[217.123874240556, 261.55220196370743]"
2025-10-01,240.39044788374144,"[216.99342813277198, 263.7874676347109]"
2025-11-01,241.4428564693923,"[216.91996890666482, 265.9657440321198]"
2025-12-01,242.49526519093178,"[216.89597823072745, 268.0945521511361]"
2026-01-01,243.54767389703116,"[216.9154570978645, 270.1798906961978]"
2026-02-01,244.6000826048849,"[216.97352924820478, 272.226635961565]"
2026-03-01,245.65249131253933,"[217.06616715036031, 274.2388154747183]"
2026-04-01,246.7049000202164,"[217.18999856619814, 276.21980147423466]"
2026-05-01,247.7573087278909,"[217.34216633835587, 278.1724511174259]"
2026-06-01,248.80971743556566,"[217.52022454560392, 280.0992103255274]"
2026-07-01,249.8621261432404,"[217.72206011894227, 282.0021921675385]"
2026-08-01,250.91453485091515,"[217.9458326808036, 283.88323702102673]"
2026-09-01,251.9669435585899,"[218.18992768215705, 285.7439594350227]"
2026-10-01,253.01935226626463,"[218.45291941223599, 287.5857851202933]"
2026-11-01,254.07176097393938,"[218.73354145190703, 289.4099804959717]"
2026-12-01,255.12416968161412,"[219.0306628178772, 291.217676545351]"
2027-01-01,256.17657838928886,"[219.3432685127939, 293.00988826578384]"
2027-02-01,257.22898709696364,"[219.67044352571773, 294.78753066820957]"
