date,prediction,confidence_interval
2025-03-01,102.721197286875,"[75.02275654386237, 130.41963802988764]"
2025-04-01,106.21529660355242,"[75.21908823251272, 137.21150497459212]"
2025-05-01,101.57763939134941,"[65.54727938194213, 137.60799940075668]"
2025-06-01,100.68386754504476,"[61.677685433946806, 139.69004965614272]"
2025-07-01,98.3293904664572,"[56.51928897663929, 140.1394919562751]"
2025-08-01,96.77952405333812,"[52.7817715871113, 140.77727651956494]"
2025-09-01,95.0336227425517,"[49.13645302295427, 140.93079246214913]"
2025-10-01,93.51985785898606,"[46.030710801580526, 141.00900491639158]"
2025-11-01,92.04214477685804,"[43.18194740228153, 140.90234215143454]"
2025-12-01,90.67792156747626,"[40.642022364980804, 140.71382076997173]"
2026-01-01,89.3855162650436,"[38.33276190274277, 140.43827062734445]"
2026-02-01,88.17581564788193,"[36.24246178719866, 140.1091695085652]"
2026-03-01,87.03716563197338,"[34.338388656708574, 139.7359426072382]"
2026-04-01,85.96818571196877,"[32.60288564393094, 139.3334857800066]"
2026-05-01,84.96339398335725,"[31.01647183847456, 138.91031612823994]"
2026-06-01,84.01946971464899,"[29.56425117708993, 138.47468825220807]"
2026-07-01,83.13249250403965,"[28.232438506736912, 138.03254650134238]"
2026-08-01,82.29912873586821,"[27.009336740358222, 137.5889207313782]"
2026-09-01,81.51609313520106,"[25.884496121686063, 137.14769014871607]"
2026-10-01,80.78036580991619,"[24.848748824968226, 136.71198279486416]"
2026-11-01,80.08908002934072,"[23.893926873907127, 136.2842331847743]"
2026-12-01,79.4395550360513,"[23.01276672714598, 135.86634334495662]"
2027-01-01,78.82926641678743,"[22.198770586558496, 135.45976224701639]"
2027-02-01,78.25584470196236,"[21.44611644743864, 135.06557295648608]"
