date,prediction,confidence_interval
2025-03-01,153.94234437295282,"[124.11120600486872, 183.7734827410369]"
2025-04-01,154.7943370815679,"[112.21485545962771, 197.3738187035081]"
2025-05-01,155.583222749816,"[102.86003393186961, 208.30641156776238]"
2025-06-01,156.3074727690771,"[94.65434354334, 217.96060199481417]"
2025-07-01,156.96555853073116,"[87.04432654769039, 226.88679051377193]"
2025-08-01,157.55595142615817,"[79.73476668158006, 235.3771361707363]"
2025-09-01,158.07712284673812,"[72.5407882616924, 243.61345743178384]"
2025-10-01,158.52754418385098,"[65.3337710551203, 251.72131731258168]"
2025-11-01,158.90568682887672,"[58.01723765076483, 259.79413600698865]"
2025-12-01,159.2100221731953,"[50.51463439694146, 267.90540994944917]"
2026-01-01,159.43902160818675,"[42.76255717126783, 276.1154860451057]"
2026-02-01,159.591156525231,"[34.70673805873945, 284.47557499172257]"
2026-03-01,159.6648983157081,"[26.299543254895667, 293.0302533765205]"
2026-04-01,159.65871837099795,"[17.49834810125887, 301.81908864073705]"
2026-05-01,159.57108808248057,"[8.264444900081998, 310.8777312648791]"
2026-06-01,159.40047884153594,"[-1.437713978783819, 320.23867166185573]"
2026-07-01,159.145362039544,"[-11.641056036583649, 329.9317801156717]"
2026-08-01,158.80420906788478,"[-22.376285057137693, 339.98470319290726]"
2026-09-01,158.37549131793824,"[-33.672180803691816, 350.42316343956827]"
2026-10-01,157.85768018108436,"[-45.55583245910353, 361.2711928212723]"
2026-11-01,157.24924704870313,"[-58.05282591719521, 372.55132001460146]"
2026-12-01,156.54866331217448,"[-71.18739833167149, 384.28472495602045]"
2027-01-01,155.75440036287844,"[-84.98256891789731, 396.4913696436542]"
2027-02-01,154.86492959219498,"[-99.46025206863143, 409.1901112530214]"
