date,prediction,confidence_interval
2025-03-01,153.004917343351,"[140.65896807850217, 165.35086660819982]"
2025-04-01,153.32396859181577,"[140.66636311772544, 165.9815740659061]"
2025-05-01,153.6409084274924,"[140.6271662792765, 166.6546505757083]"
2025-06-01,153.95573685038096,"[140.54090266128804, 167.37057103947387]"
2025-07-01,154.2684538604814,"[140.40758667323144, 168.12932104773137]"
2025-08-01,154.57905945779373,"[140.2276532107225, 168.93046570486496]"
2025-09-01,154.88755364231795,"[140.0018816534026, 169.77322563123332]"
2025-10-01,155.19393641405406,"[139.73131907270655, 170.65655375540157]"
2025-11-01,155.49820777300206,"[139.41720772009472, 171.5792078259094]"
2025-12-01,155.80036771916195,"[139.06092025173882, 172.5398151865851]"
2026-01-01,156.10041625253373,"[138.66390457539416, 173.5369279296733]"
2026-02-01,156.39835337311743,"[138.2276388978451, 174.56906784838975]"
2026-03-01,156.69417908091302,"[137.75359659984338, 175.63476156198266]"
2026-04-01,156.9878933759205,"[137.24321996785767, 176.73256678398332]"
2026-05-01,157.27949625813986,"[136.69790151109703, 177.8610910051827]"
2026-06-01,157.5689877275711,"[136.11897151017496, 179.01900394496727]"
2026-07-01,157.85636778421426,"[135.5076905043553, 180.2050450640732]"
2026-08-01,158.1416364280693,"[134.86524556494962, 181.41802729118896]"
2026-09-01,158.4247936591362,"[134.19274937744353, 182.6568379408289]"
2026-10-01,158.70583947741503,"[133.4912413343965, 183.92043762043355]"
2026-11-01,158.98477388290576,"[132.7616900076679, 185.2078577581436]"
2026-12-01,159.26159687560838,"[132.00499651359513, 186.51819723762162]"
2027-01-01,159.53630845552289,"[131.22199840570565, 187.85061850534012]"
2027-02-01,159.80890862264928,"[130.41347382710921, 189.20434341818935]"
