date,prediction,confidence_interval
2025-03-01,161.84652555986185,"[-15444.372378829086, 15768.06542994881]"
2025-04-01,180.95806130435136,"[-34715.608280651635, 35077.52440326034]"
2025-05-01,200.4147321033957,"[-58192.70951111465, 58593.53897532144]"
2025-06-01,220.21653795699484,"[-85258.56477501687, 85698.99785093086]"
2025-07-01,240.3634788651488,"[-115498.4535491479, 115979.18050687821]"
2025-08-01,260.8555548278576,"[-148612.98443308048, 149134.6955427362]"
2025-09-01,281.6927658451212,"[-184373.57953591988, 184936.96506761014]"
2025-10-01,302.8751119169396,"[-222598.51557981526, 223204.26580364915]"
2025-11-01,324.40259304331283,"[-263138.89564816613, 263787.7008342528]"
2025-12-01,346.2752092242409,"[-305869.85168370605, 306562.40210215456]"
2026-01-01,368.49296045972375,"[-350684.7204656585, 351421.706386578]"
2026-02-01,391.05584674976143,"[-397491.0177876495, 398273.129481149]"
2026-03-01,413.9638680943539,"[-446207.5560956306, 447035.4838318194]"
2026-04-01,437.21702449350124,"[-496762.31990115833, 497636.7539501453]"
2026-05-01,460.8153159472034,"[-549090.8609891266, 550012.491621021]"
2026-06-01,484.7587424554603,"[-603135.06073301, 604104.578217921]"
2026-07-01,509.0473040182721,"[-658842.1582440545, 659860.2528520911]"
2026-08-01,533.6810006356386,"[-716163.9752317605, 717231.3372330318]"
2026-09-01,558.65983230756,"[-775056.2892078179, 776173.6088724331]"
2026-10-01,583.9837990340362,"[-835478.3204410262, 836646.2880390943]"
2026-11-01,609.6529008150673,"[-897392.3074400531, 898611.6132416831]"
2026-12-01,635.6671376506531,"[-960763.1522531515, 962034.4865284528]"
2027-01-01,662.0265095407938,"[-1025558.1214889974, 1026882.1745080788]"
2027-02-01,688.7310164854892,"[-1091746.5922907412, 1093124.0543237121]"
