date,prediction,confidence_interval
2025-03-01,84.49450878012244,"[48.79116619402304, 120.19785136622184]"
2025-04-01,83.39768939615782,"[43.33075669133399, 123.46462210098164]"
2025-05-01,84.85270609099251,"[43.01249614754604, 126.69291603443898]"
2025-06-01,83.89518899667841,"[35.699422889929714, 132.09095510342712]"
2025-07-01,82.8883865663651,"[30.036275135564445, 135.74049799716576]"
2025-08-01,82.83388964026018,"[26.743081770728168, 138.9246975097922]"
2025-09-01,82.17183227793153,"[21.68599039583875, 142.6576741600243]"
2025-10-01,81.25221163120082,"[16.36770947323764, 146.136713789164]"
2025-11-01,80.58990316502312,"[11.75010091417974, 149.4297054158665]"
2025-12-01,79.76735804664351,"[6.639814477078403, 152.8949016162086]"
2026-01-01,78.76881941251649,"[1.1627761689059781, 156.374862656127]"
2026-02-01,77.78804586028686,"[-4.269889196608702, 159.84598091718243]"
2026-03-01,76.73356607993372,"[-9.9596881517068, 163.42682031157426]"
2026-04-01,75.56614932457025,"[-15.970362588103981, 167.1026612372445]"
2026-05-01,74.34665879363277,"[-22.17071941753403, 170.86403700479957]"
2026-06-01,73.06175644918676,"[-28.62969862382947, 174.753211522203]"
2026-07-01,71.69144203267419,"[-35.398830683720846, 178.78171474906924]"
2026-08-01,70.25207210559867,"[-42.448637859458074, 182.95278207065542]"
2026-09-01,68.7444403267736,"[-49.79677221880043, 187.2856528723476]"
2026-10-01,67.1611181803322,"[-57.47138040826751, 191.79361676893188]"
2026-11-01,65.5057796100817,"[-65.47322976186695, 196.48478898203035]"
2026-12-01,63.780094822511174,"[-73.81119106496159, 201.37138070998395]"
2027-01-01,61.98182277347878,"[-82.50106711188279, 206.46471265884037]"
2027-02-01,60.111605186190445,"[-91.55057927557644, 211.77378964795733]"
