date,prediction,confidence_interval
2025-03-01,124.76281023902764,"[97.37462347266035, 152.15099700539494]"
2025-04-01,124.38863536387943,"[96.88751173906994, 151.88975898868893]"
2025-05-01,125.41792923515995,"[96.98632796508048, 153.84953050523941]"
2025-06-01,125.33473355179504,"[96.89618392407058, 153.7732831795195]"
2025-07-01,125.82620016975093,"[97.16075814064925, 154.49164219885262]"
2025-08-01,126.00647958717911,"[97.26653173543457, 154.74642743892366]"
2025-09-01,126.38097543284586,"[97.46959391515368, 155.29235695053802]"
2025-10-01,126.65259284665869,"[97.62231445833442, 155.68287123498297]"
2025-11-01,126.98425262618792,"[97.80543261870517, 156.16307263367068]"
2025-12-01,127.28155229931738,"[97.9726014352492, 156.59050316338556]"
2026-01-01,127.59799979696487,"[98.15006884823276, 157.04593074569698]"
2026-02-01,127.90339094448949,"[98.32270719860604, 157.48407469037295]"
2026-03-01,128.21502261544563,"[98.49909157551542, 157.93095365537584]"
2026-04-01,128.5231111515626,"[98.6742946719259, 158.3719276311993]"
2026-05-01,128.83322106765948,"[98.85111119467985, 158.81533094063911]"
2026-06-01,129.1421864596466,"[99.0279329474744, 159.25643997181882]"
2026-07-01,129.45180329887478,"[99.2056656147357, 159.69794098301386]"
2026-08-01,129.76104995642328,"[99.38378052980354, 160.138319383043]"
2026-09-01,130.07050679497087,"[99.56256769493876, 160.57844589500297]"
2026-10-01,130.37984410701694,"[99.74185020780597, 161.01783800622792]"
2026-11-01,130.689249310568,"[99.92171780377546, 161.4567808173605]"
2026-12-01,130.99861593456018,"[100.10210833841398, 161.89512353070637]"
2027-01-01,131.30800448427635,"[100.28304654305177, 162.33296242550094]"
2027-02-01,131.61738057719035,"[100.46450781452037, 162.77025333986032]"
