date,prediction,confidence_interval
2025-03-31,443851.6143009452,"[422423.3121288752, 465279.9164730152]"
2025-04-30,442336.53489398543,"[413657.38586332055, 471015.6839246503]"
2025-05-31,446924.55634218856,"[412389.5087074492, 481459.60397692793]"
2025-06-30,449968.538093802,"[410612.0425262607, 489325.0336613433]"
2025-07-31,448009.50901202526,"[404622.00339300325, 491397.01463104726]"
2025-08-31,452147.93643995456,"[404799.70209530555, 499496.1707846036]"
2025-09-30,455384.8205151351,"[404431.1440499901, 506338.49698028015]"
2025-10-31,453477.38510565,"[399355.4412938961, 507599.3289174039]"
2025-11-30,457313.50534394424,"[399981.16101812565, 514645.8496697628]"
2025-12-31,460765.6304782899,"[400414.1590257689, 521117.1019308109]"
2026-01-31,458945.12739622867,"[395893.4622750683, 521996.79251738905]"
2026-02-28,462485.96165955305,"[396667.7118474051, 528304.2114717009]"
2026-03-31,466131.36051674996,"[397660.8523259706, 534601.8687075294]"
2026-04-30,464417.6696154101,"[393552.74963090906, 535282.5895999111]"
2026-05-31,467667.8383169333,"[394339.0614138626, 540996.615220004]"
2026-06-30,471483.21543309034,"[395759.7229643505, 547206.7079018302]"
2026-07-31,469894.00603725534,"[391995.5775077059, 547792.4345668048]"
2026-08-31,472859.71638815466,"[392721.04292223486, 552998.3898540745]"
2026-09-30,476821.8846632188,"[394482.2531191053, 559161.5162073323]"
2026-10-31,475372.99294611276,"[391025.535791442, 559720.4501007836]"
2026-11-30,478062.02495952323,"[391648.268894147, 564475.7810248995]"
2026-12-31,482148.0922215691,"[393686.14080493693, 570610.0436382013]"
2027-01-31,480853.5272033654,"[390516.28125843045, 571190.7731483004]"
2027-02-28,483275.09729744744,"[391011.873072106, 575538.3215227888]"
