date,prediction,confidence_interval
2025-03-31,131238.3422807986,"[76532.2751928238, 185944.4093687734]"
2025-04-30,127209.66431262683,"[70175.68181568061, 184243.64680957305]"
2025-05-31,114383.49426888795,"[53950.88899896115, 174816.09953881474]"
2025-06-30,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2025-07-31,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2025-08-31,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2025-09-30,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2025-10-31,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2025-11-30,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2025-12-31,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2026-01-31,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2026-02-28,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2026-03-31,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2026-04-30,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2026-05-31,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2026-06-30,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2026-07-31,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2026-08-31,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2026-09-30,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2026-10-31,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2026-11-30,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2026-12-31,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2027-01-31,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
2027-02-28,111042.97163270717,"[47553.4137743882, 174532.52949102613]"
