date,prediction,confidence_interval
2025-03-31,119299.28199494001,"[86477.75345154412, 152120.8105383359]"
2025-04-30,122494.30981779411,"[88449.56806172914, 156539.0515738591]"
2025-05-31,124218.6481589627,"[89793.70765567239, 158643.588662253]"
2025-06-30,125613.6272580559,"[90741.09497759194, 160486.15953851986]"
2025-07-31,126932.99568831845,"[91361.71555306326, 162504.27582357364]"
2025-08-31,128233.16861881281,"[91618.15527286718, 164848.18196475843]"
2025-09-30,129526.68866705857,"[91465.37882354413, 167587.998510573]"
2025-10-31,130816.34439607622,"[90873.23906455457, 170759.44972759788]"
2025-11-30,132102.7557788265,"[89829.51375478235, 174375.99780287067]"
2025-12-31,133386.06065206244,"[88337.6556730362, 178434.46563108868]"
2026-01-31,134666.28966062109,"[86412.71207611042, 182919.86724513175]"
2026-02-28,135943.44961767847,"[84076.96453014202, 187809.93470521492]"
2026-03-31,137217.54203798782,"[81356.19404758437, 193078.89002839127]"
2026-04-30,138488.5672583197,"[78276.94704421368, 198700.18747242572]"
2026-05-31,139756.52535354736,"[74864.79278681177, 204648.25792028295]"
2026-06-30,141021.41634031708,"[71143.3719886581, 210899.46069197607]"
2026-07-31,142283.24022232986,"[67133.99384954559, 217432.4865951141]"
2026-08-31,143541.99700040848,"[62855.57286441984, 224228.4211363971]"
2026-09-30,144797.6866747359,"[58324.75362027089, 231270.6197292009]"
2026-10-31,146050.30924535275,"[53556.12454058039, 238544.49395012512]"
2026-11-30,147299.8647122681,"[48562.46126475693, 246037.2681597793]"
2026-12-31,148546.353075484,"[43354.96703396058, 253737.7391170074]"
2027-01-31,149789.7743350008,"[37943.494031329246, 261636.0546386724]"
2027-02-28,151030.12849081872,"[32336.73928537566, 269723.51769626176]"
