date,prediction,confidence_interval
2025-03-31,183594.53809174238,"[168628.57271282593, 198560.50347065882]"
2025-04-30,181448.5220880695,"[162675.04707453496, 200221.99710160404]"
2025-05-31,179512.92790861905,"[158538.37343803135, 200487.48237920675]"
2025-06-30,178568.282459239,"[156520.02431116224, 200616.54060731578]"
2025-07-31,177807.8158795275,"[154892.6172649479, 200723.0144941071]"
2025-08-31,177092.0354969147,"[153394.57967348432, 200789.49132034509]"
2025-09-30,176396.5931285775,"[151976.69565397454, 200816.49060318043]"
2025-10-31,175717.0147363548,"[150625.50838247227, 200808.5210902373]"
2025-11-30,175052.2614477759,"[149334.3524886382, 200770.17040691362]"
2025-12-31,174401.8928914403,"[148098.3355861445, 200705.4501967361]"
2026-01-31,173765.5776074684,"[146913.3658381669, 200617.7893767699]"
2026-02-28,173143.00844723475,"[145775.89248501253, 200510.12440945697]"
2026-03-31,172533.88785642487,"[144682.7893681912, 200384.98634465854]"
2026-04-30,171937.9252189989,"[143631.27897551472, 200244.57146248306]"
2026-05-31,171354.8362847775,"[142618.87536174036, 200090.79720781464]"
2026-06-30,170784.34295902128,"[141643.33925450564, 199925.3466635369]"
2026-07-31,170226.17315688357,"[140702.64205143283, 199749.7042623343]"
2026-08-31,169680.06067141687,"[139794.936580391, 199565.18476244275]"
2026-09-30,169145.74504622672,"[138918.53310396572, 199372.9569884877]"
2026-10-31,168622.97145118637,"[138071.87944395316, 199174.06345841958]"
2026-11-30,168111.49056088977,"[137253.54437842968, 198969.43674334986]"
2026-12-31,167611.05843573916,"[136462.20366402325, 198759.91320745507]"
2027-01-31,167121.43640560325,"[135696.62818319895, 198546.24462800755]"
2027-02-28,166642.39095598852,"[134955.67382609512, 198329.10808588192]"
