date,prediction,confidence_interval
2025-03-31,284915.51147625776,"[268511.03953293303, 301319.9834195825]"
2025-04-30,283747.57510091766,"[262677.7947521533, 304817.35544968204]"
2025-05-31,282599.17142846197,"[257841.02593673984, 307357.31692018406]"
2025-06-30,281469.97379171086,"[253606.20859684315, 309333.7389865786]"
2025-07-31,280359.6609867041,"[249791.82608360943, 310927.4958897988]"
2025-08-31,279267.9171813337,"[246295.88481336052, 312239.9495493069]"
2025-09-30,278194.43182550423,"[243053.99355741072, 313334.87009359774]"
2025-10-31,277138.899562796,"[240022.2315811048, 314255.5675444872]"
2025-11-30,276101.02014360536,"[237168.93405664773, 315033.106230563]"
2025-12-31,275080.4983397377,"[234470.29820848635, 315690.69847098907]"
2026-01-31,274077.0438604289,"[231907.8369414378, 316246.25077942]"
2026-02-28,273090.371269771,"[229466.80941504447, 316713.9331244976]"
2026-03-31,272120.1999055193,"[227135.20525783158, 317105.194553207]"
2026-04-30,271166.25379925687,"[224903.0603812138, 317429.4472172999]"
2026-05-31,270228.26159789436,"[222761.98061235953, 317694.5425834292]"
2026-06-30,269305.95648648293,"[220704.80059601957, 317907.1123769463]"
2026-07-31,268399.07611231774,"[218725.3336173176, 318072.81860731787]"
2026-08-31,267507.3625103109,"[216818.18424881622, 318196.54077180556]"
2026-09-30,266630.5620296125,"[214978.60546306169, 318282.51859616325]"
2026-10-31,265768.42526145873,"[213202.38788738567, 318334.4626355318]"
2026-11-30,264920.70696822676,"[211485.77273078196, 318355.6412056716]"
2026-12-31,264087.16601367603,"[209825.38243735398, 318348.9495899981]"
2027-01-31,263267.56529435643,"[208218.16481388113, 318316.9657748317]"
2027-02-28,262461.6716721633,"[206661.34753820693, 318261.99580611964]"
