date,prediction,confidence_interval
2025-03-31,187495.72076985834,"[103672.5115001162, 271318.93003960047]"
2025-04-30,211951.12181443797,"[102150.95370396988, 321751.28992490604]"
2025-05-31,230947.3792800374,"[77466.29192812534, 384428.4666319494]"
2025-06-30,244014.86081658606,"[31210.99954988167, 456818.72208329046]"
2025-07-31,270123.6323826018,"[-9278.216517776018, 549525.4812829796]"
2025-08-31,300959.0928348305,"[-47114.572438109084, 649032.7581077701]"
2025-09-30,330140.77710696234,"[-101093.56179199228, 761375.116005917]"
2025-10-31,366774.8900008346,"[-154226.0891921103, 887775.8691937795]"
2025-11-30,409366.5474847264,"[-208628.13401635084, 1027361.2289858037]"
2025-12-31,454471.2142293711,"[-269679.45024694345, 1178621.8787056857]"
2026-01-31,504991.76887214975,"[-334550.5489093149, 1344534.0866536144]"
2026-02-28,561804.7098651791,"[-400766.4255925779, 1524375.8453229363]"
2026-03-31,623158.3092565334,"[-471628.7396036689, 1717945.3581167357]"
2026-04-30,690020.1847195774,"[-546072.586656183, 1926112.9560953379]"
2026-05-31,763194.5230958767,"[-623041.2375070555, 2149430.283698809]"
2026-06-30,842168.1622411518,"[-703333.6435769268, 2387669.9680592306]"
2026-07-31,927177.3038746951,"[-787068.3698790179, 2641422.977628408]"
2026-08-31,1018812.2980981234,"[-873516.0289899968, 2911140.6251862436]"
2026-09-30,1117031.5210903522,"[-962926.5299546751, 3196989.5721353795]"
2026-10-31,1221963.2153669794,"[-1055371.971649336, 3499298.402383295]"
2026-11-30,1333975.9793537145,"[-1150561.8405112529, 3818513.7992186816]"
2026-12-31,1453223.5959722737,"[-1248450.6320904552, 4154897.824035003]"
2027-01-31,1579838.7187926446,"[-1349086.6539210856, 4508764.091506375]"
2027-02-28,1714087.7777045385,"[-1452310.8273329039, 4880486.382741981]"
