date,prediction,confidence_interval
2025-03-31,452650.6802667639,"[424673.53724766034, 480627.82328586746]"
2025-04-30,455494.156905128,"[398278.4794917596, 512709.83431849635]"
2025-05-31,453500.3352363871,"[350479.5705558448, 556521.0999169294]"
2025-06-30,459464.23036043596,"[294852.30640280654, 624076.1543180654]"
2025-07-31,460586.3374791746,"[215252.83827776546, 705919.8366805838]"
2025-08-31,467275.12719450204,"[123685.26236488647, 810864.9920241176]"
2025-09-30,472583.30056297267,"[9518.579456858977, 935648.0216690863]"
2025-10-31,480930.9739471557,"[-122736.75327424827, 1084598.7011685597]"
2025-11-30,488911.0516245551,"[-278231.0005491209, 1256053.103798231]"
2025-12-31,499389.1403399613,"[-454726.46526317135, 1453504.745943094]"
2026-01-31,510022.133331054,"[-656056.7195100201, 1676100.986172128]"
2026-02-28,522456.60062204977,"[-881201.8790961287, 1926115.0803402283]"
2026-03-31,535505.9377235011,"[-1132547.9059367038, 2203559.7813837063]"
2026-04-30,550010.5333098634,"[-1410037.8958727634, 2510058.96249249]"
2026-05-31,565261.0348375428,"[-1715381.4291675666, 2845903.498842652]"
2026-06-30,581771.1708722702,"[-2048849.269219495, 3212391.610964035]"
2026-07-31,599117.0754200194,"[-2411778.792670862, 3610012.943510901]"
2026-08-31,617565.3735132541,"[-2804677.81674741, 4039808.563773919]"
2026-09-30,636876.6371869748,"[-3228619.3911365843, 4502372.665510533]"
2026-10-31,657192.7874965414,"[-3684220.325252588, 4998605.900245671]"
2026-11-30,678362.472676831,"[-4172413.4202265884, 5529138.3655802505]"
2026-12-31,700457.9985751739,"[-4693859.1340861935, 6094775.131236542]"
2027-01-31,723384.4319396499,"[-5249393.149791917, 6696162.0136712175]"
2027-02-28,747171.1068083168,"[-5839694.684749383, 7334036.898366016]"
