date,prediction,confidence_interval
2025-03-31,218174.1531139918,"[192645.69561596136, 243702.61061202225]"
2025-04-30,221484.9902777183,"[192073.1148883758, 250896.86566706077]"
2025-05-31,223767.55429407235,"[187221.93406217342, 260313.1745259713]"
2025-06-30,226628.31579599276,"[184536.69721786995, 268719.93437411555]"
2025-07-31,229363.10615184263,"[181138.5230286761, 277587.68927500915]"
2025-08-31,232280.58550866385,"[178111.97676395118, 286449.1942533765]"
2025-09-30,235245.45802666523,"[174955.2075604245, 295535.70849290595]"
2025-10-31,238317.0282984229,"[171851.03229111453, 304783.0243057313]"
2025-11-30,241469.30118095205,"[168704.05559079655, 314234.5467711076]"
2025-12-31,244713.67119581418,"[165543.4117332917, 323883.93065833667]"
2026-01-31,248045.1437514545,"[162349.29000711, 333740.99749579903]"
2026-02-28,251465.90814074193,"[159125.56030044047, 343806.2559810434]"
2026-03-31,254975.00472499267,"[155867.82624225377, 354082.1832077316]"
2026-04-30,258572.8541452349,"[152576.5568835964, 364569.15140687337]"
2026-05-31,262259.2720207453,"[149251.0583975035, 375267.48564398714]"
2026-06-30,266034.3391716268,"[145891.8027680722, 386176.87557518133]"
2026-07-31,269898.0201717842,"[142499.2366296235, 397296.8037139449]"
2026-08-31,273850.330549634,"[139074.1610269874, 408626.50007228064]"
2026-09-30,277891.26349856326,"[135617.46993202143, 420165.05706510507]"
2026-10-31,282020.8220021332,"[132130.19175129646, 431911.4522529699]"
2026-11-30,286239.0047525512,"[128613.41835884904, 443864.5911462534]"
2026-12-31,290545.8123230656,"[125068.29625360057, 456023.3283925306]"
2027-01-31,294941.2444624029,"[121496.00068638375, 468386.488238422]"
2027-02-28,299425.30128070444,"[117897.72449023533, 480952.87807117356]"
