date,prediction,confidence_interval
2025-03-31,329759.6357438377,"[49507.84546300641, 610011.426024669]"
2025-04-30,325390.69640272285,"[-3836.5331791661447, 654617.9259846119]"
2025-05-31,267484.77590629994,"[-100974.27333692217, 635943.825149522]"
2025-06-30,247986.94519195202,"[-187057.09814309244, 683030.9885269965]"
2025-07-31,223655.66666105643,"[-268529.4628611454, 715840.7961832582]"
2025-08-31,186596.1010426801,"[-360364.1871117349, 733556.3891970951]"
2025-09-30,154223.44301116766,"[-452853.852446498, 761300.7384688334]"
2025-10-31,120565.06419165568,"[-546826.9661190859, 787957.0945023973]"
2025-11-30,83049.23628316158,"[-645134.5545087538, 811233.0270750769]"
2025-12-31,44800.33814384058,"[-746097.9331132268, 835698.6094009079]"
2026-01-31,5109.776466140756,"[-849715.7617527423, 859935.3146850239]"
2026-02-28,-36659.980839356846,"[-956552.1235532397, 883232.161874526]"
2026-03-31,-79976.91322389999,"[-1066324.5004079326, 906370.6739601325]"
2026-04-30,-124898.9749861619,"[-1178990.3124460187, 929192.362473695]"
2026-05-31,-171565.15990660217,"[-1294649.506495894, 951519.1866826895]"
2026-06-30,-219889.80109266198,"[-1413247.9846480214, 973468.3824626976]"
2026-07-31,-269870.8159162362,"[-1534760.234929881, 995018.6030974085]"
2026-08-31,-321536.1255448903,"[-1659193.3760958528, 1016121.1250060722]"
2026-09-30,-374872.83240823913,"[-1786527.5813071758, 1036781.9164906975]"
2026-10-31,-429878.42564149573,"[-1916745.188676118, 1056988.3373931265]"
2026-11-30,-486558.1753991477,"[-2049835.5872710657, 1076719.2364727703]"
2026-12-31,-544910.312498099,"[-2185783.811760081, 1095963.1867638826]"
2027-01-31,-604934.0401251294,"[-2324574.882495545, 1114706.8022452858]"
2027-02-28,-666630.3007699257,"[-2466195.4409291013, 1132934.8393892501]"
