date,prediction,confidence_interval
2025-03-31,356488.38709677424,"[109577.21286433897, 603399.5613292095]"
2025-04-30,614503.548387097,"[-166298.1419340754, 1395305.2387082693]"
2025-05-31,974583.8709677423,"[-700049.1891975703, 2649216.931133055]"
2025-06-30,1437267.7419354846,"[-1546171.3277092497, 4420706.811580218]"
2025-07-31,2003093.5483870977,"[-2752751.536713092, 6758938.633487288]"
2025-08-31,2672599.677419356,"[-4363285.761116583, 9708485.115955295]"
2025-09-30,3446324.516129034,"[-6417769.168822493, 13310418.20108056]"
2025-10-31,4324806.451612906,"[-8953414.440613177, 17603027.34383899]"
2025-11-30,5308583.870967745,"[-12005154.43661477, 22622322.178550262]"
2025-12-31,6398195.161290325,"[-15606010.033739809, 28402400.35632046]"
2026-01-31,7594178.709677422,"[-19787368.793384023, 34975726.212738864]"
2026-02-28,8897072.90322581,"[-24579202.011647273, 42373347.81809889]"
2026-03-31,10307416.129032262,"[-30010237.657118, 50625069.91518252]"
2026-04-30,11825746.774193555,"[-36108100.792928964, 59759594.341316074]"
2026-05-31,13452603.225806458,"[-42899429.436948776, 69804635.8885617]"
2026-06-30,15188523.87096775,"[-50409971.47753799, 80787019.2194735]"
2026-07-31,17034047.0967742,"[-58664666.71279612, 92732760.90634453]"
2026-08-31,18989711.290322594,"[-67687717.02366325, 105667139.60430843]"
2026-09-30,21056054.838709693,"[-77502646.95120065, 119614756.62862004]"
2026-10-31,23233616.129032277,"[-88132356.41907382, 134599588.6771384]"
2026-11-30,25522933.548387118,"[-99599166.95629552, 150645034.05306977]"
2026-12-31,27924545.48387099,"[-111924862.48895282, 167773953.45669478]"
2027-01-31,30438990.322580673,"[-125130725.55391717, 186008706.1990785]"
2027-02-28,33066806.45161293,"[-139237569.62273368, 205371182.52595952]"
