date,prediction,confidence_interval
2025-03-31,152356.223425863,"[101710.03490753668, 203002.41194418928]"
2025-04-30,153446.8846130973,"[102488.89198126858, 204404.877244926]"
2025-05-31,154419.32661390596,"[103208.8274084882, 205629.8258193237]"
2025-06-30,155220.6359348142,"[103705.38277387974, 206735.88909574866]"
2025-07-31,156021.56311436146,"[104195.34819396665, 207847.77803475625]"
2025-08-31,156823.05257059986,"[104680.97199376834, 208965.13314743136]"
2025-09-30,157623.40056719712,"[105160.08771971194, 210086.7134146823]"
2025-10-31,158422.5935198926,"[105632.68910888203, 211212.49793090316]"
2025-11-30,159220.64841831138,"[106098.82057668926, 212342.4762599335]"
2025-12-31,160017.565439545,"[106558.50607463559, 213476.6248044544]"
2026-01-31,160813.34441427462,"[107011.76998796166, 214614.91884058758]"
2026-02-28,161607.98534031858,"[107458.6378448307, 215757.33283580648]"
2026-03-31,162401.4882193633,"[107899.13605448039, 216903.8403842462]"
2026-04-30,163193.85305143468,"[108333.29184607994, 218054.41425678943]"
2026-05-31,163985.07983651594,"[108761.13321879224, 219209.02645423965]"
2026-06-30,164775.1685746068,"[109182.68889091209, 220367.6482583015]"
2026-07-31,165564.11926570738,"[109597.98825001359, 221530.25028140118]"
2026-08-31,166351.93190981774,"[110007.06130429161, 222696.80251534388]"
2026-09-30,167138.60650693785,"[110409.93863512945, 223867.27437874625]"
2026-10-31,167924.1430570677,"[110806.65135093537, 225041.63476320004]"
2026-11-30,168708.54156020732,"[111197.23104228545, 226219.8520781292]"
2026-12-31,169491.80201635667,"[111581.7097384035, 227401.89429430984]"
2027-01-31,170273.92442551578,"[111960.1198650032, 228587.72898602835]"
2027-02-28,171054.90878768463,"[112332.49420351116, 229777.3233718581]"
