date,prediction,confidence_interval
2025-03-31,127487.61275385306,"[11478.45866728804, 243496.76684041807]"
2025-04-30,125687.45567079543,"[7149.800605570752, 244225.1107360201]"
2025-05-31,124175.06190721976,"[-13261.6116830369, 261611.73549747642]"
2025-06-30,117311.09102553902,"[-34448.14460219622, 269070.32665327424]"
2025-07-31,114445.79094414039,"[-48526.146206483056, 277417.7280947638]"
2025-08-31,109543.27051902456,"[-67643.75723396284, 286730.298272012]"
2025-09-30,104768.07933361201,"[-84697.98939362263, 294234.14806084667]"
2025-10-31,100157.67152120791,"[-101999.11600902044, 302314.4590514363]"
2025-11-30,95024.50517651622,"[-119865.93206003241, 309914.9424130649]"
2025-12-31,89926.82200987902,"[-137454.68738494947, 317308.3314047075]"
2026-01-31,84610.67351691164,"[-155408.0285926055, 324629.3756264288]"
2026-02-28,79117.13019037235,"[-173497.15753371545, 331731.4179144602]"
2026-03-31,73489.18986638692,"[-191753.67607924785, 338732.0558120217]"
2026-04-30,67678.77374593049,"[-210247.7766781127, 345605.3241699737]"
2026-05-31,61712.67189963136,"[-228936.36798188512, 352361.71178114787]"
2026-06-30,55583.27220449506,"[-247852.97173135364, 359019.51614034374]"
2026-07-31,49288.75552033481,"[-266999.02984705096, 365576.5408877206]"
2026-08-31,42832.93770732196,"[-286376.773772652, 372042.64918729593]"
2026-09-30,36213.20922344726,"[-305995.16822171665, 378421.58666861115]"
2026-10-31,29430.57461367664,"[-325855.6696131069, 384716.81884046015]"
2026-11-30,22484.993131510397,"[-345962.39219137566, 390932.37845439644]"
2026-12-31,15376.193853150087,"[-366318.28166556184, 397070.66937186196]"
2027-01-31,8104.413586889781,"[-386925.40919011197, 403134.23636389157]"
2027-02-28,669.5383180814852,"[-407786.03266617307, 409125.109302336]"
