date,prediction,confidence_interval
2025-03-31,357152.1217034747,"[307232.68657976825, 407071.5568271812]"
2025-04-30,358985.6083757291,"[302703.3617862858, 415267.8549651724]"
2025-05-31,360611.0940424981,"[298061.3958598478, 423160.7922251484]"
2025-06-30,362230.39772322215,"[293907.9223902656, 430552.8730561787]"
2025-07-31,363843.5194179013,"[290126.4231116061, 437560.6157241965]"
2025-08-31,365450.45912653557,"[286639.0067392119, 444261.91151385923]"
2025-09-30,367051.21684912493,"[283390.6157136018, 450711.81798464805]"
2025-10-31,368645.7925856694,"[280340.667701912, 456950.91746942676]"
2025-11-30,370234.18633616896,"[277458.2570734158, 463010.11559892213]"
2025-12-31,371816.3981006236,"[274719.22296209267, 468913.5732391546]"
2026-01-31,373392.4278790334,"[272104.26708660525, 474680.5886714615]"
2026-02-28,374962.27567139827,"[269597.6959062355, 480326.85543656105]"
2026-03-31,376525.94147771824,"[267186.5514801352, 485865.3314753013]"
2026-04-30,378083.42529799335,"[264859.9937451267, 491306.85685086]"
2026-05-31,379634.72713222355,"[262608.85076374677, 496660.6035007003]"
2026-06-30,381179.8469804088,"[260425.28435569955, 501934.4096051181]"
2026-07-31,382718.78484254924,"[258302.53692748625, 507135.03275761224]"
2026-08-31,384251.54071864474,"[256234.73666709036, 512268.34477019915]"
2026-09-30,385778.1146086953,"[254216.74548519056, 517339.4837322001]"
2026-10-31,387298.50651270105,"[252244.03879124913, 522352.97423415293]"
2026-11-30,388812.71643066185,"[250312.60933602366, 527312.8235253]"
2026-12-31,390320.74436257774,"[248418.88949525406, 532222.5992299014]"
2027-01-31,391822.59030844877,"[246559.687858311, 537085.4927585865]"
2027-02-28,393318.2542682749,"[244732.13703785778, 541904.371498692]"
