date,prediction,confidence_interval
2025-03-31,190163.14102564103,"[122008.96544997618, 258317.31660130588]"
2025-04-30,220989.4230769231,"[68592.05353928063, 373386.7926145656]"
2025-05-31,251978.84615384619,"[-3030.728328328347, 506988.4206360207]"
2025-06-30,283131.41025641025,"[-90164.38325318252, 656427.203766003]"
2025-07-31,314447.1153846154,"[-190997.7784088825, 819892.0091781132]"
2025-08-31,345925.9615384615,"[-304223.4366803388, 996075.3597572618]"
2025-09-30,377567.94871794863,"[-428843.1317960762, 1183979.0292319735]"
2025-10-31,409373.0769230768,"[-564063.2570368305, 1382809.4108829843]"
2025-11-30,441341.346153846,"[-709233.5622261285, 1591916.2545338206]"
2025-12-31,473472.75641025626,"[-863808.7340147933, 1810754.2468353058]"
2026-01-31,505767.3076923075,"[-1027322.9616948757, 2038857.5770794908]"
2026-02-28,538224.9999999998,"[-1199372.355965719, 2275822.3559657186]"
2026-03-31,570845.8333333331,"[-1379602.3613230675, 2521294.027989734]"
2026-04-30,603629.8076923075,"[-1567698.4777414105, 2774958.0931260255]"
2026-05-31,636576.9230769229,"[-1763379.252359246, 3036533.098513092]"
2026-06-30,669687.1794871793,"[-1966390.8743655954, 3305765.233339954]"
2026-07-31,702960.5769230766,"[-2176502.9308143305, 3582424.0846604835]"
2026-08-31,736397.1153846151,"[-2393505.021499627, 3866299.252268857]"
2026-09-30,769996.7948717946,"[-2617204.0216645417, 4157197.6114081307]"
2026-10-31,803759.6153846151,"[-2847421.841473404, 4454941.072242634]"
2026-11-30,837685.5769230766,"[-3083993.5720955688, 4759364.725941722]"
2026-12-31,871774.6794871791,"[-3326765.9366879826, 5070315.295662341]"
2027-01-31,906026.9230769228,"[-3575595.984718347, 5387649.830872193]"
2027-02-28,940442.3076923074,"[-3830349.982604231, 5711234.597988846]"
