date,prediction,confidence_interval
2025-03-31,150286.31322706124,"[114271.56490125539, 186301.0615528671]"
2025-04-30,150564.42849143376,"[99472.89781129375, 201655.95917157378]"
2025-05-31,150834.34579311757,"[88066.14245158959, 213602.54913464555]"
2025-06-30,151096.06513211265,"[78394.13429571722, 223797.99596850807]"
2025-07-31,151349.58650841904,"[69817.29341539179, 232881.8796014463]"
2025-08-31,151594.90992203672,"[62008.752064681496, 241181.06777939195]"
2025-09-30,151832.03537296568,"[54775.01370443941, 248889.05704149196]"
2025-10-31,152060.96286120592,"[47990.4470390458, 256131.47868336603]"
2025-11-30,152281.69238675747,"[41568.09690482124, 262995.2878686937]"
2025-12-31,152494.2239496203,"[35444.87769674919, 269543.5702024914]"
2026-01-31,152698.5575497944,"[29573.33639479165, 275823.77870479715]"
2026-02-28,152894.69318727983,"[23916.740717925495, 281872.6456566342]"
2026-03-31,153082.63086207653,"[18445.986540040874, 287719.2751841122]"
2026-04-30,153262.37057418452,"[13137.563642221212, 293387.1775061478]"
2026-05-31,153433.9123236038,"[7972.168509741343, 298895.6561374663]"
2026-06-30,153597.2561103344,"[2933.729332399991, 304260.7828882688]"
2026-07-31,153752.40193437625,"[-1991.2971388914157, 309496.1010076439]"
2026-08-31,153899.3497957294,"[-6814.44405179657, 314613.14364325535]"
2026-09-30,154038.09969439384,"[-11545.624193567695, 319621.8235823554]"
2026-10-31,154168.65163036957,"[-16193.427988779003, 324530.7312495181]"
2026-11-30,154291.00560365658,"[-20765.35480479049, 329347.3660121036]"
2026-12-31,154405.1616142549,"[-25267.994918365264, 334078.31814687507]"
2027-01-31,154511.1196621645,"[-29707.174404708203, 338729.4137290372]"
2027-02-28,154608.8797473854,"[-34088.07176723229, 343305.83126200305]"
