date,prediction,confidence_interval
2025-03-31,200151.05557093793,"[176911.47536101504, 223390.63578086082]"
2025-04-30,203842.15597711562,"[168244.78754368392, 239439.5244105473]"
2025-05-31,207093.251076563,"[154294.73008617162, 259891.77206695438]"
2025-06-30,210963.96785074958,"[137385.25480519014, 284542.68089630903]"
2025-07-31,214918.56628888272,"[119670.98620941624, 310166.1463683492]"
2025-08-31,219034.19366459092,"[99404.68052520655, 338663.7068039753]"
2025-09-30,223446.91666631153,"[77671.20739065934, 369222.62594196375]"
2025-10-31,228020.60712579635,"[54418.31457630085, 401622.89967529185]"
2025-11-30,232828.53162823143,"[29559.139794759685, 436097.9234617032]"
2025-12-31,237865.14005409507,"[3353.4391577039787, 472376.84095048613]"
2026-01-31,243115.77065852928,"[-24236.70407874635, 510468.2453958049]"
2026-02-28,248602.06672374788,"[-53142.189611178124, 550346.3230586739]"
2026-03-31,254318.19707808492,"[-83300.05882872577, 591936.4529848956]"
2026-04-30,260268.45782490965,"[-114691.27476885245, 635228.1904186718]"
2026-05-31,266458.52216829377,"[-147269.4037414131, 680186.4480780007]"
2026-06-30,272889.2235004035,"[-181004.74479908816, 726783.1917998951]"
2026-07-31,279564.9989231685,"[-215870.49626431096, 775000.494110648]"
2026-08-31,286488.9854095692,"[-251838.0553278377, 824816.0261469762]"
2026-09-30,293664.1153767802,"[-288884.7173853743, 876212.9481389348]"
2026-10-31,301093.9661104831,"[-326988.1366356725, 929176.0688566386]"
2026-11-30,308781.64236863086,"[-366127.67812324397, 983690.9628605057]"
2026-12-31,316730.415665018,"[-406284.69458424277, 1039745.5259142788]"
2027-01-31,324943.58748940687,"[-447441.40295826056, 1097328.5779370742]"
2027-02-28,333424.37344987865,"[-489581.36971847294, 1156430.1166182302]"
