date,prediction,confidence_interval
2025-03-31,1419817.5810576978,"[1263876.962757227, 1575758.1993581685]"
2025-04-30,1424872.4379083833,"[1222141.4840083008, 1627603.3918084658]"
2025-05-31,1378286.9833898759,"[1136665.9035849026, 1619908.063194849]"
2025-06-30,1366753.6547521187,"[1106197.9104127302, 1627309.3990915073]"
2025-07-31,1355794.4680202117,"[1079253.8435478467, 1632335.0924925767]"
2025-08-31,1345380.8417725714,"[1055162.5954325, 1635599.088112643]"
2025-09-30,1335485.617402517,"[1033449.2673017737, 1637521.9675032604]"
2025-10-31,1326082.9882889644,"[1013759.8222714139, 1638406.154306515]"
2025-11-30,1317148.432493082,"[995819.9228473608, 1638476.9421388032]"
2025-12-31,1308658.6488053817,"[979410.602252907, 1637906.6953578563]"
2026-01-31,1300591.4959764564,"[964352.9818412212, 1636830.0101116917]"
2026-02-28,1292925.9349728797,"[950498.1914703945, 1635353.678475365]"
2026-03-31,1285641.9741076701,"[937720.4503299944, 1633563.497885346]"
2026-04-30,1278720.6169022226,"[925912.1557747587, 1631529.0780296866]"
2026-05-31,1272143.8125437298,"[914980.2970044513, 1629307.3280830083]"
2026-06-30,1265894.408808889,"[904843.7714375927, 1626945.0461801854]"
2026-07-31,1259956.1073311195,"[895431.3334900301, 1624480.8811722088]"
2026-08-31,1254313.4210946253,"[886679.9973050973, 1621946.8448841532]"
2026-09-30,1248951.6340444533,"[878533.7724068041, 1619369.4956821024]"
2026-10-31,1243856.7627072064,"[870942.6482225753, 1616770.8771918374]"
2026-11-30,1239015.5197223201,"[863861.7678543337, 1614169.2715903064]"
2026-12-31,1234415.2791887927,"[857250.747997684, 1611579.8103799014]"
2027-01-31,1230044.0437369933,"[851073.1133138337, 1609014.974160153]"
2027-02-28,1225890.4132396735,"[845295.8215804053, 1606485.0048989416]"
