date,prediction,confidence_interval
2025-03-31,1041699.1706396099,"[845941.6039585201, 1237456.7373206997]"
2025-04-30,1032609.4492616635,"[749499.44694848, 1315719.451574847]"
2025-05-31,1022738.6967657746,"[667656.3106199846, 1377821.0829115645]"
2025-06-30,1012094.7740515572,"[591653.6535009678, 1432535.8946021465]"
2025-07-31,1000685.5420186248,"[518054.62532791856, 1483316.4587093312]"
2025-08-31,988518.8615665917,"[445047.0222985911, 1531990.7008345923]"
2025-09-30,975602.593595071,"[371508.5342334508, 1579696.652956691]"
2025-10-31,961944.5990036771,"[296667.2706369974, 1627221.9273703569]"
2025-11-30,947552.7386920236,"[219951.37599301548, 1675154.1013910316]"
2025-12-31,932434.8735597241,"[140913.2200262203, 1723956.527093228]"
2026-01-31,916598.8645063927,"[59187.501037755515, 1774010.22797503]"
2026-02-28,900052.5724316429,"[-25533.575774903875, 1825638.7206381897]"
2026-03-31,882803.8582350889,"[-113515.83841677138, 1879123.5548869492]"
2026-04-30,864860.582816344,"[-204993.3322711503, 1934714.4979038383]"
2026-05-31,846230.6070750224,"[-300175.261609299, 1992636.4757593437]"
2026-06-30,826921.7919107378,"[-399250.8883315772, 2053094.4721530527]"
2026-07-31,806941.9982231037,"[-502393.0995069399, 2116277.0959531474]"
2026-08-31,786299.0869117342,"[-609761.0811399492, 2182359.2549634175]"
2026-09-30,765000.918876243,"[-721502.3753290721, 2251504.2130815582]"
2026-10-31,743055.3550162441,"[-837754.5010552274, 2323865.211087716]"
2026-11-30,720470.2562313509,"[-958646.2585296299, 2399586.7709923317]"
2026-12-31,697253.4834211776,"[-1084298.7985900086, 2478805.765432364]"
2027-01-31,673412.8974853378,"[-1214826.5136249713, 2561652.308595647]"
2027-02-28,648956.3593234452,"[-1350337.7899407244, 2648250.5085876146]"
