date,prediction,confidence_interval
2025-03-31,229921.06830025133,"[176339.55800304766, 283502.578597455]"
2025-04-30,213530.51834692038,"[159451.07383243932, 267609.96286140144]"
2025-05-31,221621.2781694461,"[166387.01135567768, 276855.5449832145]"
2025-06-30,220719.76116833018,"[163197.3036641052, 278242.2186725552]"
2025-07-31,213643.53172058964,"[155709.08641059528, 271577.977030584]"
2025-08-31,220512.68112995857,"[160847.82805007123, 280177.53420984594]"
2025-09-30,214652.78633408956,"[153944.45973441453, 275361.1129337646]"
2025-10-31,214623.3845178291,"[153206.27631389652, 276040.4927217617]"
2025-11-30,216438.47699986436,"[153590.53786450773, 279286.416135221]"
2025-12-31,211915.91627398584,"[148387.05863201024, 275444.77391596144]"
2026-01-31,213903.1885418652,"[149434.12195559544, 278372.255128135]"
2026-02-28,212398.03754469403,"[146944.48552987134, 277851.5895595167]"
2026-03-31,210624.30455918206,"[144518.16576409555, 276730.44335426856]"
2026-04-30,211670.9404733639,"[144638.31240118857, 278703.5685455393]"
2026-05-31,209476.2754650655,"[141721.6290534252, 277230.92187670583]"
2026-06-30,209302.36556969286,"[140860.39354080748, 277744.33759857825]"
2026-07-31,208961.43474530487,"[139738.0468205131, 278184.82267009665]"
2026-08-31,207431.22030870075,"[137593.11097897202, 277269.32963842945]"
2026-09-30,207506.75200372742,"[136993.05966507646, 278020.4443423784]"
2026-10-31,206477.91407797308,"[135322.689264918, 277633.1388910281]"
2026-11-30,205701.13756733554,"[133972.8142323502, 277429.46090232086]"
2026-12-31,205420.50277807892,"[133078.32770295785, 277762.6778532]"
2027-01-31,204380.67908275162,"[131489.19060309563, 277272.1675624076]"
2027-02-28,203949.77853648723,"[130518.3071695498, 277381.24990342464]"
