date,prediction,confidence_interval
2025-03-31,173159.84251968423,"[-290445.41732338164, 636765.1023627501]"
2025-04-30,-133760.6299212621,"[-1599809.1862595463, 1332287.926417022]"
2025-05-31,-579901.574803154,"[-3724225.4289713614, 2564422.2793650534]"
2025-06-30,-1164403.149606306,"[-6766166.817890332, 4437360.51867772]"
2025-07-31,-1886405.511811034,"[-10816073.451325482, 7043262.427703413]"
2025-08-31,-2745048.8188976524,"[-15955765.211537965, 10465667.573742658]"
2025-09-30,-3739473.228346476,"[-22260488.853274673, 14781542.396581722]"
2025-10-31,-4868818.89763782,"[-29800266.678932466, 20062628.883656822]"
2025-11-30,-6132225.984251999,"[-38640840.35496287, 26376388.38645887]"
2025-12-31,-7528834.645669328,"[-48844361.570663445, 33786692.27932479]"
2026-01-31,-9057785.039370123,"[-60469915.27010673, 42354345.19136649]"
2026-02-28,-10718217.322834697,"[-73573927.18988903, 52137492.54421964]"
2026-03-31,-12509271.653543366,"[-88210488.57050373, 63191945.26341699]"
2026-04-30,-14430088.188976446,"[-104431619.81554526, 75571443.43759236]"
2026-05-31,-16479807.086614251,"[-122287488.03307542, 89327873.85984692]"
2026-06-30,-18657568.503937095,"[-141826589.0065465, 104511451.99867229]"
2026-07-31,-20962512.598425295,"[-163095901.2332991, 121170876.03644851]"
2026-08-31,-23393779.527559165,"[-186141017.68295327, 139353458.62783495]"
2026-09-30,-25950509.44881902,"[-211006259.53849778, 159105240.64085975]"
2026-10-31,-28631842.51968517,"[-237734775.1890573, 180471090.14968693]"
2026-11-30,-31436918.89763794,"[-266368627.0186209, 203494789.22334504]"
2026-12-31,-34364878.740157634,"[-296948867.9973882, 228219110.51707292]"
2027-01-31,-37414862.20472458,"[-329515609.677341, 254685885.2678918]"
2027-02-28,-40586009.448819086,"[-364108082.8842114, 282936063.9865732]"
