date,prediction,confidence_interval
2025-03-01,484503.5026164596,"[344057.9759771079, 624949.0292558114]"
2025-04-01,480299.98215879075,"[338110.3353839827, 622489.6289335988]"
2025-05-01,483689.8750510527,"[338924.82059451146, 628454.929507594]"
2025-06-01,486300.31020932365,"[338385.5627573988, 634215.0576612485]"
2025-07-01,490898.00672638224,"[341799.6241761234, 639996.3892766411]"
2025-08-01,494030.9262309908,"[341777.4988760507, 646284.3535859309]"
2025-09-01,498612.5189685238,"[345211.55920873146, 652013.478728316]"
2025-10-01,501856.86092642345,"[345499.5791123396, 658214.1427405074]"
2025-11-01,506363.72325210815,"[348814.7173837329, 663912.7291204834]"
2025-12-01,509683.83655890246,"[349371.5400671534, 669996.1330506515]"
2026-01-01,514121.32336940133,"[352573.67152648314, 675668.9752123195]"
2026-02-01,517507.0357959685,"[353364.52225554467, 681649.5493363923]"
2026-03-01,521882.8981262509,"[356468.2080688898, 687297.588183612]"
2026-04-01,525326.6378135337,"[357463.13083416864, 693190.1447928987]"
2026-05-01,529647.8821077115,"[360482.0286260373, 698813.7355893857]"
2026-06-01,533143.0399458463,"[361655.5782517296, 704630.501639963]"
2026-07-01,537415.8796040672,"[364601.8502696557, 710229.9089384787]"
2026-08-01,540956.6057991927,"[365932.37060708867, 715980.8409912967]"
2026-09-01,545186.54723142,"[368816.7681518596, 721556.3263109804]"
2026-10-01,548767.6580254622,"[370285.7444455914, 727249.5716053329]"
2026-11-01,552959.5812000884,"[373117.7415169518, 732801.4208832249]"
2026-12-01,556576.482569883,"[374709.2749696227, 738443.6901701433]"
2027-01-01,560734.7123192943,"[377497.199003592, 743972.2256349967]"
2027-02-01,564383.3328466723,"[379197.58270471636, 749569.0829886282]"
