date,prediction,confidence_interval
2025-03-01,354921.176298228,"[333314.06886853866, 376528.2837279173]"
2025-04-01,358588.5289390139,"[323171.9031082904, 394005.1547697374]"
2025-05-01,362329.0640892291,"[315863.9837120699, 408794.1444663883]"
2025-06-01,366142.78174887365,"[309671.6149655577, 422613.9485321896]"
2025-07-01,370029.68191794754,"[304056.7253812201, 436002.638454675]"
2025-08-01,373989.7645964508,"[298773.7735961111, 449205.75559679046]"
2025-09-01,378023.02978438337,"[293689.39319439855, 462356.6663743682]"
2025-10-01,382129.4774817453,"[288723.32924777706, 475535.62571571354]"
2025-11-01,386309.1076885366,"[283823.9343065774, 488794.2810704958]"
2025-12-01,390561.9204047572,"[278956.38458825764, 502167.45622125675]"
2026-01-01,394887.91563040717,"[274096.4019719426, 515679.4292888717]"
2026-02-01,399287.0933654865,"[269226.6464075461, 529347.5403234268]"
2026-03-01,403759.45360999514,"[264334.5184061361, 543184.3888138542]"
2026-04-01,408304.9963639331,"[259410.757013547, 557199.2357143192]"
2026-05-01,412923.7216273004,"[254448.51098849953, 571398.9322661012]"
2026-06-01,417615.629400097,"[249442.70398946264, 585788.5548107314]"
2026-07-01,422380.719682323,"[244389.5891928255, 600371.8501718205]"
2026-08-01,427218.9924739783,"[239286.42977924013, 615151.5551687165]"
2026-09-01,432130.447775063,"[234131.26529154443, 630129.6302585816]"
2026-10-01,437115.085585577,"[228922.73793311632, 645307.4332380376]"
2026-11-01,442172.90590552037,"[223659.96155109632, 660685.8502599444]"
2026-12-01,447303.9087348931,"[218342.42155625176, 676265.3959135343]"
2027-01-01,452508.09407369513,"[212969.89761723558, 692046.2905301547]"
2027-02-01,457785.46192192653,"[207542.4033551838, 708028.5204886693]"
