date,prediction,confidence_interval
2025-03-01,398479.15148018935,"[378740.3900722842, 418217.9128880945]"
2025-04-01,398326.5669407487,"[371837.11577670573, 424816.0181047917]"
2025-05-01,397469.9851749385,"[367208.4839180744, 427731.4864318026]"
2025-06-01,396509.1498304513,"[362693.7694507258, 430324.5302101768]"
2025-07-01,395680.93231915665,"[358565.07983782596, 432796.78480048734]"
2025-08-01,394865.0764226561,"[354832.8418238125, 434897.3110214996]"
2025-09-01,394038.52625725046,"[351358.6367082246, 436718.4158062763]"
2025-10-01,393222.448031606,"[348092.69560913584, 438352.2004540761]"
2025-11-01,392417.87054943846,"[345011.53572048165, 439824.2053783953]"
2025-12-01,391621.27694745245,"[342089.094197779, 441153.4596971259]"
2026-01-01,390832.7946153251,"[339304.661943611, 442360.92728703923]"
2026-02-01,390052.83907911845,"[336643.03431880474, 443462.64383943216]"
2026-03-01,389281.2290965313,"[334091.719380981, 444470.7388120816]"
2026-04-01,388517.80838643195,"[331640.21471227286, 445395.40206059103]"
2026-05-01,387762.5115206413,"[329279.7501529301, 446245.27288835245]"
2026-06-01,387015.2599716646,"[327002.8888750504, 447027.63106827874]"
2026-07-01,386275.9638029127,"[324803.2287056821, 447748.69890014327]"
2026-08-01,385544.537577883,"[322675.2111656356, 448413.86399013037]"
2026-09-01,384820.89826181455,"[320613.9714276722, 449027.8250959569]"
2026-10-01,384104.9629836665,"[318615.2173738374, 449594.7085934956]"
2026-11-01,383396.64960590156,"[316675.1356940024, 450118.16351780074]"
2026-12-01,382695.8769941439,"[314790.3175660501, 450601.43642223766]"
2027-01-01,382002.56488608604,"[312957.69849208015, 451047.4312800919]"
2027-02-01,381316.633852995,"[311174.5092741697, 451458.7584318203]"
