date,prediction,confidence_interval
2025-03-01,253390.57737966836,"[184703.6442044393, 322077.5105548974]"
2025-04-01,236084.10007780898,"[158102.83309904055, 314065.3670565774]"
2025-05-01,225006.0771349015,"[134946.08871329532, 315066.0655565077]"
2025-06-01,221714.4082793337,"[113864.00205893438, 329564.81449973304]"
2025-07-01,208300.84698966367,"[85728.5098879047, 330873.18409142265]"
2025-08-01,195652.59399563452,"[52583.648754455906, 338721.53923681314]"
2025-09-01,179820.242858824,"[16104.353520842415, 343536.13219680556]"
2025-10-01,161608.17040117094,"[-28039.075920176838, 351255.41672251874]"
2025-11-01,140392.99697377818,"[-76681.86730404908, 357467.86125160544]"
2025-12-01,116855.39080005347,"[-133231.65777081577, 366942.43937092274]"
2026-01-01,89920.36872248798,"[-195509.48723097116, 375350.22467594716]"
2026-02-01,60448.49513905036,"[-266100.3297151932, 386997.3199932939]"
2026-03-01,27444.99868110362,"[-343293.0321704809, 398183.02953268815]"
2026-04-01,-8400.735723173446,"[-429224.7338035674, 412423.2623572206]"
2026-05-01,-47916.95834099947,"[-522528.071412832, 426694.15473083314]"
2026-06-01,-90553.64169980178,"[-624964.7933683943, 443857.5099687907]"
2026-07-01,-137020.95386109973,"[-735475.6234979834, 461433.71577578393]"
2026-08-01,-186873.97466558215,"[-855510.3049321101, 481762.35560094577]"
2026-09-01,-240726.5478270358,"[-984264.43652087, 502811.3408667984]"
2026-10-01,-298222.5867469113,"[-1122938.031898702, 526492.8584048795]"
2026-11-01,-359894.2363013918,"[-1270931.9295303288, 551143.4569275451]"
2026-12-01,-425460.3085269293,"[-1429246.8294905517, 578326.212436693]"
2027-01-01,-495384.3792731266,"[-1597447.7216922187, 606678.9631459655]"
2027-02-01,-569448.0250204528,"[-1776376.2219700264, 637480.1719291207]"
