date,prediction,confidence_interval
2025-03-01,246107.8755732064,"[194728.04206322768, 297487.7090831851]"
2025-04-01,265352.4608961796,"[208659.43971176894, 322045.4820805903]"
2025-05-01,265151.901006147,"[197482.40023297636, 332821.4017793176]"
2025-06-01,274942.6847621657,"[198614.24795929895, 351271.12156503246]"
2025-07-01,278870.11777657847,"[193409.88261951093, 364330.352933646]"
2025-08-01,287472.63743288594,"[192876.51700851263, 382068.75785725925]"
2025-09-01,292358.13432455587,"[188749.4516541157, 395966.81699499604]"
2025-10-01,300989.7169833125,"[188066.2719797806, 413913.1619868444]"
2025-11-01,306364.2139485075,"[184266.11746207805, 428462.31043493695]"
2025-12-01,315207.1400953746,"[183594.54187725607, 446819.73831349314]"
2026-01-01,320998.3085418624,"[179974.07177191833, 462022.5453118065]"
2026-02-01,330082.71465127723,"[179310.00847838682, 480855.42082416767]"
2026-03-01,336276.6445498184,"[175825.91409999572, 496727.3749996411]"
2026-04-01,345610.16518096754,"[175155.6737191598, 516064.6566427753]"
2026-05-01,352201.6830132799,"[171789.35684534587, 532614.009181214]"
2026-06-01,361788.49363684526,"[171105.64568454772, 552471.3415891428]"
2026-07-01,368773.86004333495,"[167847.64898450888, 569700.071102161]"
2026-08-01,378617.4805444986,"[167148.57588681896, 590086.3852021783]"
2026-09-01,385993.31082184205,"[163994.078556366, 607992.5430873181]"
2026-10-01,396097.02427163953,"[163281.18263114494, 628912.8659121341]"
2026-11-01,403860.12290581537,"[160228.06551769262, 647492.1802939381]"
2026-12-01,414227.04384451284,"[159504.96562855746, 668949.1220604682]"
2027-01-01,422374.3735856653,"[156552.76921609935, 688195.9779552312]"
2027-02-01,433007.46451645205,"[155824.3244019709, 710190.6046309331]"
