date,prediction,confidence_interval
2025-03-01,284660.9064641035,"[187312.95888167166, 382008.8540465353]"
2025-04-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2025-05-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2025-06-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2025-07-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2025-08-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2025-09-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2025-10-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2025-11-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2025-12-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2026-01-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2026-02-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2026-03-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2026-04-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2026-05-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2026-06-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2026-07-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2026-08-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2026-09-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2026-10-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2026-11-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2026-12-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2027-01-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
2027-02-01,214405.1243295827,"[98893.76718988355, 329916.48146928183]"
