date,prediction,confidence_interval
2025-03-01,218467.85644945776,"[169107.64428773907, 267828.06861117645]"
2025-04-01,233024.5315538041,"[167943.97991574177, 298105.0831918664]"
2025-05-01,239128.3589527192,"[151453.08119981998, 326803.6367056184]"
2025-06-01,246252.95479095323,"[127742.2394168137, 364763.67016509274]"
2025-07-01,260496.72422569594,"[109364.77966602746, 411628.6687853644]"
2025-08-01,268470.47667806485,"[84683.61085847995, 452257.3424976497]"
2025-09-01,277412.76181985013,"[56052.15383591186, 498773.3698037884]"
2025-10-01,288258.6555333465,"[27443.26448188891, 549074.0465848041]"
2025-11-01,298141.7025533466,"[-3586.2740829937393, 599869.6791896869]"
2025-12-01,307282.5312855353,"[-37760.42281820113, 652325.4853892718]"
2026-01-01,317513.7495609119,"[-72990.4705382135, 708017.9696600373]"
2026-02-01,327462.1407970595,"[-110023.49312003562, 764947.7747141547]"
2026-03-01,337104.5434865446,"[-149230.18657519267, 823439.2735482818]"
2026-04-01,347031.00457625365,"[-189955.64998543257, 884017.6591379398]"
2026-05-01,357018.95870809874,"[-232195.26155076537, 946233.1789669628]"
2026-06-01,366840.0685721837,"[-276193.7435367254, 1009873.8806810929]"
2026-07-01,376754.11833152594,"[-321700.5822430196, 1075208.8189060716]"
2026-08-01,386724.0977143615,"[-368642.7242000274, 1142090.9196287505]"
2026-09-01,396648.426280398,"[-417092.40363204264, 1210389.2561928385]"
2026-10-01,406592.0893305255,"[-466972.7480244336, 1280156.9266854846]"
2026-11-01,416576.85119981295,"[-518211.8660654578, 1351365.5684650838]"
2026-12-01,426555.8781325341,"[-570820.3721200948, 1423932.128385163]"
2027-01-01,436544.12815038394,"[-624764.3523788706, 1497852.6086796385]"
2027-02-01,446556.5555081896,"[-679997.6745536085, 1573110.7855699877]"
