date,prediction,confidence_interval
2025-03-01,155119.10977078188,"[-7455.216485238052, 317693.4360268018]"
2025-04-01,143648.12986559918,"[-22419.656171991985, 309715.9159031904]"
2025-05-01,136466.32667430036,"[-32067.04817732703, 304999.70152592775]"
2025-06-01,139268.97667991725,"[-32001.79374278913, 310539.74710262363]"
2025-07-01,137589.15370799002,"[-34311.991538066184, 309490.2989540462]"
2025-08-01,136705.72336634694,"[-35530.774264222215, 308942.22099691606]"
2025-09-01,136626.36445118597,"[-35796.50675904253, 309049.23566141445]"
2025-10-01,136291.34886243497,"[-36203.39619017069, 308786.0939150406]"
2025-11-01,136098.70151548093,"[-36430.75135682721, 308628.1543877891]"
2025-12-01,136002.15030903078,"[-36543.920296117256, 308548.2209141788]"
2026-01-01,135914.94024824255,"[-36638.4618512466, 308468.3423477317]"
2026-02-01,135859.46398615494,"[-36697.3649114451, 308416.29288375494]"
2026-03-01,135823.96977088827,"[-36734.44985794253, 308382.3893997191]"
2026-04-01,135798.2335339944,"[-36760.91155730441, 308357.37862529326]"
2026-05-01,135781.12123174727,"[-36778.3595286209, 308340.60199211544]"
2026-06-01,135769.63444540533,"[-36790.00119334631, 308329.270084157]"
2026-07-01,135761.71453899355,"[-36797.992296568, 308321.4213745551]"
2026-08-01,135756.37058452275,"[-36803.36909631334, 308316.1102653588]"
2026-09-01,135752.7500442122,"[-36807.00477495053, 308312.504863375]"
2026-10-01,135750.28334680712,"[-36809.478444391774, 308310.045138006]"
2026-11-01,135748.61166738564,"[-36811.153337577474, 308308.37667234876]"
2026-12-01,135747.4772070002,"[-36812.289278927376, 308307.24369292776]"
2027-01-01,135746.7064545686,"[-36813.06071371981, 308306.473622857]"
2027-02-01,135746.1834769856,"[-36813.58400576757, 308305.9509597388]"
