date,prediction,confidence_interval
2025-03-01,1033796.876630255,"[707820.35346366, 1359773.39979685]"
2025-04-01,892125.0713508474,"[547376.8700628856, 1236873.2726388092]"
2025-05-01,966915.3246152066,"[617222.4357745631, 1316608.21345585]"
2025-06-01,946860.8353425429,"[574055.6572885136, 1319666.013396572]"
2025-07-01,928149.762116478,"[536333.4793592595, 1319966.0448736968]"
2025-08-01,910692.1117863655,"[503047.6527269975, 1318336.5708457334]"
2025-09-01,894403.9196892958,"[473465.14262583066, 1315342.696752761]"
2025-10-01,879206.8458119814,"[447028.03809195466, 1311385.6535320082]"
2025-11-01,865027.7980050672,"[423297.2134553276, 1306758.3825548068]"
2025-12-01,851798.5804376728,"[401918.1511801329, 1301679.0096952128]"
2026-01-01,839455.5656013653,"[382598.95780592196, 1296312.1733968086]"
2026-02-01,827939.3882860265,"[365095.53970229044, 1290783.2368697627]"
2026-03-01,817194.660055756,"[349201.21102267894, 1285188.109088833]"
2026-04-01,807169.7028515452,"[334739.16830712435, 1279600.237395966]"
2026-05-01,797816.3004394558,"[321556.88919502764, 1274075.7116838838]"
2026-06-01,789089.4665088598,"[309521.8643619909, 1268657.0686557286]"
2026-07-01,780947.2283053835,"[298518.2791334024, 1263376.1774773644]"
2026-08-01,773350.4247579117,"[288444.3881504564, 1258256.461365367]"
2026-09-01,766262.5181287196,"[279210.4067403042, 1253314.6295171352]"
2026-10-01,759649.4182808417,"[270736.79489519174, 1248562.0416664917]"
2026-11-01,753479.3187174691,"[262952.8446574154, 1244005.792777523]"
2026-12-01,747722.5436047893,"[255795.50554492598, 1239649.5816646526]"
2027-01-01,742351.4050425042,"[249208.39927808754, 1235494.4108069208]"
2027-02-01,737340.0698955528,"[243140.98688325094, 1231539.1529078546]"
