date,prediction,confidence_interval
2025-03-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2025-04-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2025-05-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2025-06-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2025-07-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2025-08-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2025-09-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2025-10-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2025-11-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2025-12-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2026-01-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2026-02-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2026-03-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2026-04-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2026-05-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2026-06-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2026-07-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2026-08-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2026-09-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2026-10-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2026-11-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2026-12-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2027-01-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
2027-02-01,184425.19934640522,"[100010.15933786205, 268840.2393549484]"
