date,prediction,confidence_interval
2025-03-01,158263.29154388825,"[103795.59707160025, 212730.98601617623]"
2025-04-01,151486.41670499402,"[91530.22040893612, 211442.6130010519]"
2025-05-01,145834.92269681953,"[82340.82275443294, 209329.02263920612]"
2025-06-01,141121.92662064533,"[75279.36167477368, 206964.49156651698]"
2025-07-01,137191.57971027002,"[69763.97409283966, 204619.18532770037]"
2025-08-01,133913.9137444548,"[65405.60411969984, 202422.22336920974]"
2025-09-01,131180.5432739999,"[61930.59738714452, 200430.4891608553]"
2025-10-01,128901.08154523387,"[59140.01082164298, 198662.15226882475]"
2025-11-01,127000.15160212072,"[56885.81438183664, 197114.48882240482]"
2025-12-01,125414.89373048258,"[55055.922058408294, 195773.86540255687]"
2026-01-01,124092.88682081446,"[53564.28370784562, 194621.4899337833]"
2026-02-01,122990.4149135756,"[52344.08128229638, 193636.7485448548]"
2026-03-01,122071.02160529402,"[51342.92749800945, 192799.11571257858]"
2026-04-01,121304.30451276517,"[50519.405535783575, 192089.20348974678]"
2026-05-01,120664.90993083737,"[49840.532712756234, 191489.2871489185]"
2026-06-01,120131.69443925336,"[49279.874939250105, 190983.5139392566]"
2026-07-01,119687.02573466732,"[48816.12768954634, 190557.9237797883]"
2026-08-01,119316.19956783779,"[48432.03632388223, 190200.36281179334]"
2026-09-01,119006.95350534841,"[48113.56640605035, 189900.34060464648]"
2026-10-01,118749.06143698975,"[47849.26028981758, 189648.86258416192]"
2026-11-01,118533.99542002275,"[47629.733947846194, 189438.2568921993]"
2026-12-01,118354.64367823239,"[47447.28042628673, 189262.00693017803]"
2027-01-01,118205.07543059907,"[47295.55511745041, 189114.59574374772]"
2027-02-01,118080.34477297182,"[47169.32436441505, 188991.36518152858]"
