date,prediction,confidence_interval
2025-03-01,316945.9199184506,"[262107.51009234818, 371784.32974455296]"
2025-04-01,301729.0099437727,"[243190.31358538556, 360267.7063021598]"
2025-05-01,306234.09387099,"[247278.28064674485, 365189.9070952351]"
2025-06-01,310657.59833502636,"[251697.99957808942, 369617.1970919633]"
2025-07-01,304276.10839758284,"[245189.22138841473, 363362.99540675094]"
2025-08-01,314690.8046049573,"[255383.95459734672, 373997.65461256786]"
2025-09-01,305055.36624604627,"[245314.6819322326, 364796.05055985996]"
2025-10-01,317193.86870668555,"[257056.63000820883, 377331.1074051623]"
2025-11-01,306689.6077637803,"[246006.75128340043, 367372.46424416016]"
2025-12-01,319219.57687305857,"[258092.83206539648, 380346.32168072066]"
2026-01-01,308589.99493214174,"[246900.8801326395, 370279.109731644]"
2026-02-01,321097.26767479035,"[258966.23064456525, 383228.30470501544]"
2026-03-01,310572.3345504487,"[247893.03360868865, 373251.63549220876]"
2026-04-01,322929.950468235,"[259825.43026718238, 386034.4706692876]"
2026-05-01,312579.0255857373,"[248948.66786011518, 376209.38331135944]"
2026-06-01,324749.8282402336,"[260714.38864071522, 388785.26783975196]"
2026-07-01,314592.0707745305,"[250054.55763879057, 379129.5839102705]"
2026-08-01,326566.95271792467,"[261644.53667050914, 391489.3687653402]"
2026-09-01,316605.86242445855,"[251204.4524386521, 382007.272410265]"
2026-10-01,328384.4460483177,"[262617.41576191806, 394151.47633471736]"
2026-11-01,318618.66849556373,"[252394.52634718062, 384842.81064394687]"
2026-12-01,330203.2628733181,"[263631.68470369733, 396774.8410429389]"
2027-01-01,320629.9690393788,"[253621.8959790279, 387638.0420997297]"
2027-02-01,332023.68013135635,"[264685.2676645796, 399362.0925981331]"
