date,prediction,confidence_interval
2025-03-01,197556.58457257933,"[93418.6563107527, 301694.512834406]"
2025-04-01,216409.1065931259,"[109991.87534916273, 322826.3378370891]"
2025-05-01,205356.70706521175,"[92264.83667595965, 318448.57745446387]"
2025-06-01,207054.76875297545,"[77258.41040044479, 336851.12710550614]"
2025-07-01,212630.0562055109,"[77936.19214966783, 347323.92026135395]"
2025-08-01,209197.88859056885,"[66860.9950618995, 351534.78211923817]"
2025-09-01,211070.2668447269,"[59865.77479554064, 362274.7588939131]"
2025-10-01,212954.39973695728,"[55919.4266027892, 369989.37287112535]"
2025-11-01,212355.60591789745,"[48474.93103683146, 376236.28079896345]"
2025-12-01,213711.9345749838,"[43125.742181505804, 384298.1269684618]"
2026-01-01,214682.2835344894,"[38289.70368975462, 391074.8633792242]"
2026-02-01,215045.6918737818,"[32598.70854286157, 397492.675204702]"
2026-03-01,216068.3534764608,"[27813.24672568025, 404323.46022724133]"
2026-04-01,216853.47799521688,"[23116.14735118457, 410590.8086392492]"
2026-05-01,217518.74334228103,"[18310.761335212155, 416726.7253493499]"
2026-06-01,218389.42318843986,"[13897.245990360709, 422881.600386519]"
2026-07-01,219153.79409594042,"[9541.52190188333, 428766.06628999754]"
2026-08-01,219906.32016926297,"[5254.383350930293, 434558.25698759564]"
2026-09-01,220717.77389510328,"[1160.2233371946495, 440275.3244530119]"
2026-10-01,221488.21987630543,"[-2863.3216198439186, 445839.7613724548]"
2026-11-01,222263.5675117866,"[-6793.2644340473635, 451320.3994576206]"
2026-12-01,223054.16758898308,"[-10606.195367240725, 456714.53054520686]"
2027-01-01,223830.43804961906,"[-14344.728251780878, 462005.604351019]"
2027-02-01,224610.91106417892,"[-17998.029258991388, 467219.8513873492]"
