date,prediction,confidence_interval
2025-03-01,140490.94913616654,"[64664.09126780469, 216317.8070045284]"
2025-04-01,125322.9524140044,"[42184.71492973078, 208461.189898278]"
2025-05-01,118648.68285024489,"[21281.159513468956, 216016.2061870208]"
2025-06-01,109999.27533365783,"[-1147.1156448008114, 221145.6663121165]"
2025-07-01,100599.1256530434,"[-22288.6522082367, 223486.90351432352]"
2025-08-01,91527.5048377929,"[-44654.41018173382, 227709.41985731962]"
2025-09-01,81869.32808425462,"[-66369.91454337591, 230108.57071188517]"
2025-10-01,72032.23873991691,"[-89242.77179163904, 233307.24927147286]"
2025-11-01,61900.725311314185,"[-111641.7427881916, 235443.19341081998]"
2025-12-01,51494.24043547304,"[-135182.93984688297, 238171.42071782905]"
2026-01-01,40803.257122914656,"[-158374.14100425746, 239980.65525008677]"
2026-02-01,29847.451069864976,"[-182660.58586363442, 242355.48800336436]"
2026-03-01,18599.391722030738,"[-206695.0756198937, 243893.85906395517]"
2026-04-01,7089.2472266829245,"[-231776.48235041814, 245954.976803784]"
2026-05-01,-4713.147668824268,"[-256680.72340946045, 247254.4280718119]"
2026-06-01,-16778.474221078188,"[-282586.8554703056, 249029.9070281492]"
2026-07-01,-29135.160109059598,"[-308375.5624983643, 250105.24228024512]"
2026-08-01,-41755.54096171195,"[-335124.1430287998, 251613.06110537588]"
2026-09-01,-54666.614327911564,"[-361804.77693786053, 252471.54828203737]"
2026-10-01,-67842.00309417596,"[-389406.2955131597, 253722.28932480782]"
2026-11-01,-81307.48398327842,"[-416981.7630380286, 254366.79507147174]"
2026-12-01,-95037.86865771457,"[-445442.08501637576, 255366.34770094662]"
2027-01-01,-109057.76843884836,"[-473912.42767069605, 255796.8907929993]"
2027-02-01,-123343.1368141878,"[-503234.3660761805, 256548.09244780487]"
