date,prediction,confidence_interval
2025-03-01,398314.01750806393,"[345405.728358123, 451222.3066580049]"
2025-04-01,388653.6376090835,"[322089.5542562367, 455217.7209619303]"
2025-05-01,382458.31410085305,"[299651.8756694372, 465264.7525322689]"
2025-06-01,370687.70981121704,"[272491.5187681697, 468883.9008542644]"
2025-07-01,356458.3468114731,"[241321.50197285425, 471595.1916500919]"
2025-08-01,338721.2991072774,"[204936.41414394384, 472506.184070611]"
2025-09-01,317854.8973040451,"[163043.21180302222, 472666.582805068]"
2025-10-01,293748.43424475746,"[115151.89686256961, 472344.9716269453]"
2025-11-01,266458.76754885324,"[60929.218131908885, 471988.31696579757]"
2025-12-01,235985.34014008509,"[56.747397976520006, 471913.93288219365]"
2026-01-01,202347.26761656126,"[-67733.221115225, 472427.7563483475]"
2026-02-01,165556.92489594794,"[-142680.6384134297, 473794.48820532556]"
2026-03-01,125628.99653475345,"[-224998.66751977478, 476256.6605892817]"
2026-04-01,82577.37571068887,"[-314880.7407446701, 480035.49216604786]"
2026-05-01,36416.22676091639,"[-412504.106074078, 485336.55959591083]"
2026-06-01,-12840.378887962677,"[-518033.3225646555, 492352.5647887302]"
2026-07-01,-65178.33797430572,"[-631622.7026295632, 501266.0266809517]"
2026-08-01,-120583.55814448583,"[-753418.2541074848, 512251.1378185132]"
2026-09-01,-179041.94330733398,"[-883559.1219173451, 525475.2353026771]"
2026-10-01,-240539.39865231933,"[-1022178.6910183129, 541099.8937136743]"
2026-11-01,-305061.82893011085,"[-1169405.4237550655, 559281.765894844]"
2026-12-01,-372595.13904172875,"[-1325363.505431387, 580173.2273479295]"
2027-01-01,-443125.23383667663,"[-1490173.3468237247, 603922.8791503713]"
2027-02-01,-516638.01818211,"[-1663951.9815292952, 630675.9451650751]"
