date,prediction,confidence_interval
2025-03-01,186093.92734467675,"[100053.24581587862, 272134.6088734749]"
2025-04-01,137172.38231875375,"[-17461.950496700534, 291806.71513420803]"
2025-05-01,87551.62924685894,"[-181592.43983322586, 356695.69832694373]"
2025-06-01,26347.43973443689,"[-399989.5715083211, 452684.45097719494]"
2025-07-01,-37255.21869548379,"[-666762.5280162903, 592252.0906253228]"
2025-08-01,-121565.20368432849,"[-991514.0952306342, 748383.6878619773]"
2025-09-01,-204415.20017295526,"[-1373181.7615653127, 964351.3612194023]"
2025-10-01,-302405.6171847766,"[-1818006.2378105551, 1213195.003441002]"
2025-11-01,-407506.7626539053,"[-2325493.1321491245, 1510479.6068413137]"
2025-12-01,-523839.5273435154,"[-2901438.6886989977, 1853759.634011967]"
2026-01-01,-646249.7003524896,"[-3545207.5378078492, 2252708.1371028703]"
2026-02-01,-781980.7178595235,"[-4262303.009613955, 2698341.5738949087]"
2026-03-01,-924278.2669570853,"[-5052381.395617691, 3203824.8617035197]"
2026-04-01,-1077577.8832998523,"[-5919715.09333236, 3764559.3267326546]"
2026-05-01,-1239626.7805553987,"[-6865039.634221535, 4385786.073110737]"
2026-06-01,-1412255.6147248251,"[-7891741.512311013, 5067230.282861363]"
2026-07-01,-1593248.830315463,"[-9000588.577755658, 5814090.9171247315]"
2026-08-01,-1785126.277985908,"[-10194856.609855229, 6624604.053883413]"
2026-09-01,-1985951.8420859927,"[-11475479.261905748, 7503575.577733763]"
2026-10-01,-2196984.89681215,"[-12845099.824859679, 8451130.031235378]"
2026-11-01,-2417495.5991685493,"[-14305050.466575745, 9470059.268238645]"
2026-12-01,-2648279.411703365,"[-15857666.174451739, 10561107.351045009]"
2027-01-01,-2888529.3929835865,"[-17504233.624668572, 11727174.838701397]"
2027-02-01,-3139078.3378117736,"[-19246967.88866214, 12968811.213038594]"
