date,prediction,confidence_interval
2025-03-01,258954.59323098743,"[107736.59961991079, 410172.58684206405]"
2025-04-01,230699.67441430007,"[53026.13002589301, 408373.21880270715]"
2025-05-01,209720.08405166512,"[11962.629484727542, 407477.5386186027]"
2025-06-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2025-07-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2025-08-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2025-09-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2025-10-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2025-11-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2025-12-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2026-01-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2026-02-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2026-03-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2026-04-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2026-05-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2026-06-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2026-07-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2026-08-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2026-09-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2026-10-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2026-11-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2026-12-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2027-01-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
2027-02-01,192325.60332573846,"[-12459.180570617842, 397110.38722209475]"
