date,prediction,confidence_interval
2025-03-01,164082.7616771299,"[115486.29440740311, 212679.2289468567]"
2025-04-01,162425.4659754444,"[106345.34140469917, 218505.5905461896]"
2025-05-01,163490.71295980655,"[95692.40840835177, 231289.01751126134]"
2025-06-01,163643.8501198735,"[87363.47306124093, 239924.2271785061]"
2025-07-01,163727.0424072902,"[78594.91220750456, 248859.17260707583]"
2025-08-01,164133.81030823302,"[70773.96112807824, 257493.6594883878]"
2025-09-01,163929.54919408305,"[62364.13975039772, 265494.9586377684]"
2025-10-01,164289.15950128066,"[54578.981070649344, 273999.337931912]"
2025-11-01,163936.73158629207,"[46036.36668074451, 281837.0964918396]"
2025-12-01,164193.9142800119,"[37960.882593563976, 290426.9459664598]"
2026-01-01,163724.056483251,"[29007.29878030441, 298440.8141861976]"
2026-02-01,163871.534008815,"[20413.183478985156, 307329.88453864487]"
2026-03-01,163293.76462579574,"[10851.236636513728, 315736.29261507775]"
2026-04-01,163333.6406753613,"[1564.6813312155427, 325102.60001950705]"
2026-05-01,162653.33035137816,"[-8760.965211028524, 334067.62591378484]"
2026-06-01,162589.54236504107,"[-18881.2107459626, 344060.29547604476]"
2026-07-01,161811.2510307316,"[-30099.818493031053, 353722.3205544943]"
2026-08-01,161648.09485503953,"[-41173.39358145051, 364469.58329152956]"
2026-09-01,160776.22401113829,"[-53396.062439146364, 374948.51046142296]"
2026-10-01,160518.06550805242,"[-65526.872338670946, 386563.0033547758]"
2026-11-01,159556.98573002775,"[-78850.96957640658, 397964.9410364621]"
2026-12-01,159208.20440413823,"[-92130.6706807926, 410547.07948906906]"
2027-01-01,158162.28026582743,"[-106642.60427007463, 422967.1648017295]"
2027-02-01,157727.2582451639,"[-121152.90789843083, 436607.4243887586]"
