date,prediction,confidence_interval
2025-03-01,383787.7294000879,"[370797.2445298014, 396778.2142703744]"
2025-04-01,382915.23368966527,"[361349.9550082778, 404480.51237105276]"
2025-05-01,381323.6276972784,"[352964.5631589809, 409682.6922355759]"
2025-06-01,379509.64884248027,"[345604.52689456526, 413414.77079039527]"
2025-07-01,377644.184082089,"[339069.9432171653, 416218.4249470127]"
2025-08-01,375785.69472204,"[333179.2678591402, 418392.12158493977]"
2025-09-01,373953.85923683876,"[327796.6863487024, 420111.0321249751]"
2025-10-01,372154.9837972859,"[322824.781299601, 421485.18629497074]"
2025-11-01,370390.77007074805,"[318193.3751235588, 422588.1650179373]"
2025-12-01,368661.34039041476,"[313850.8226645878, 423471.8581162417]"
2026-01-01,366966.2814122354,"[309758.09266779874, 424174.47015667206]"
2026-02-01,365305.00404744036,"[305884.8924967459, 424725.1155981348]"
2026-03-01,363676.8674771079,"[302207.1324151406, 425146.60253907525]"
2026-04-01,362081.2217659871,"[298705.24063741334, 425457.2028945609]"
2026-05-01,360517.42239224154,"[295363.018469645, 425671.8263148381]"
2026-06-01,358984.8350901565,"[292166.8431686558, 425802.82701165724]"
2026-07-01,357482.8373537082,"[289105.09935466805, 425860.5753527484]"
2026-08-01,356010.81879129214,"[286167.7641742679, 425853.8734083164]"
2026-09-01,354568.1810873155,"[283346.0983323966, 425790.2638422344]"
2026-10-01,353154.33783134556,"[280632.4116619305, 425676.2640007606]"
2026-11-01,351768.71430470375,"[278019.88226364605, 425517.54634576145]"
2026-12-01,350410.747255459,"[275502.41487780015, 425319.0796331179]"
2027-01-01,349079.8846724393,"[273074.52848022216, 425085.24086465646]"
2027-02-01,347775.5855618656,"[270731.2659867107, 424819.90513702045]"
